Entry,Exit,Ticker,Lev,PnL%,Reason
1980-07-04,1980-07-07,NIKKEI,1.5,-3.01,TRAIL
1980-07-16,1980-07-29,NIKKEI,1.5,-0.1,TRAIL
1980-07-31,1980-08-01,NIKKEI,1.5,-0.69,TRAIL
1980-08-01,1980-08-05,DXY,1.5,-1.18,TRAIL
1980-07-01,1980-08-18,NASDAQ,3.0,36.17,TRAIL
1980-08-07,1980-08-26,DXY,2.0,0.89,TRAIL
1980-08-13,1980-08-28,NIKKEI,3.0,2.0,TRAIL
1980-08-28,1980-09-24,NIKKEI,3.0,4.05,TRAIL
1980-08-18,1980-09-26,NASDAQ,3.0,22.9,TRAIL
1980-07-02,1980-09-29,SP500,3.0,20.38,TRAIL
1980-09-26,1980-09-29,NASDAQ,1.5,-3.92,TRAIL
1980-10-02,1980-10-20,NASDAQ,3.0,9.97,TRAIL
1980-09-24,1980-10-23,NIKKEI,3.0,6.81,TRAIL
1980-10-20,1980-10-23,NASDAQ,1.5,-1.02,TRAIL
1980-10-01,1980-10-27,SP500,3.0,1.77,TRAIL
1980-10-23,1980-10-27,NASDAQ,1.5,-1.12,TRAIL
1980-10-23,1980-10-27,NIKKEI,1.5,-0.88,TRAIL
1980-10-31,1980-11-07,NIKKEI,1.5,-0.01,TRAIL
1980-10-28,1980-11-10,DXY,3.0,0.95,TRAIL
1980-11-07,1980-11-17,NIKKEI,1.5,-0.51,TRAIL
1980-11-25,1980-11-28,NIKKEI,1.5,-0.46,TRAIL
1980-11-13,1980-12-02,NASDAQ,3.0,5.18,TRAIL
1980-12-02,1980-12-05,NASDAQ,1.5,-0.51,TRAIL
1980-11-11,1980-12-08,SP500,3.0,-1.49,TRAIL
1980-12-05,1980-12-08,NASDAQ,1.5,-5.28,TRAIL
1980-12-01,1980-12-09,NIKKEI,1.5,-0.95,TRAIL
1980-11-10,1980-12-15,DXY,3.0,11.09,TRAIL
1980-12-15,1980-12-17,DXY,1.5,-0.43,TRAIL
1980-12-17,1980-12-22,DXY,1.5,-1.48,TRAIL
1981-01-05,1981-01-21,SP500,1.5,-7.19,TRAIL
1981-01-15,1981-01-21,NASDAQ,1.5,-1.32,TRAIL
1981-01-05,1981-01-26,NIKKEI,3.0,4.13,TRAIL
1981-01-26,1981-01-29,NIKKEI,1.5,-0.71,TRAIL
1981-01-30,1981-02-06,NIKKEI,1.5,0.21,TRAIL
1981-02-06,1981-02-12,NASDAQ,1.5,-2.47,TRAIL
1981-01-22,1981-02-19,DXY,3.0,14.16,TRAIL
1981-02-19,1981-03-09,DXY,3.0,0.87,TRAIL
1981-02-27,1981-03-11,NASDAQ,2.0,0.15,TRAIL
1981-03-11,1981-04-14,NASDAQ,3.0,23.06,TRAIL
1981-03-18,1981-04-15,NIKKEI,3.0,11.89,TRAIL
1981-04-14,1981-04-28,NASDAQ,3.0,5.96,TRAIL
1981-04-15,1981-05-01,NIKKEI,3.0,4.6,TRAIL
1981-02-27,1981-05-04,SP500,3.0,-1.37,TRAIL
1981-04-28,1981-05-04,NASDAQ,1.5,-2.97,TRAIL
1981-05-01,1981-05-06,NIKKEI,1.5,-2.18,TRAIL
1981-05-11,1981-05-13,NIKKEI,1.5,-3.19,TRAIL
1981-05-15,1981-06-02,NASDAQ,3.0,4.27,TRAIL
1981-05-22,1981-06-04,NIKKEI,1.5,-2.54,TRAIL
