ticker,trades,total_ret,avg_ret,pnl
CLSK,8,19.526755781485317,2.4408444726856646,19526.755781485317
RIOT,6,16.37818948649899,2.7296982477498317,16378.18948649899
AMC,6,11.655722484661926,1.942620414110321,11655.722484661927
GREE,4,11.579178285915361,2.8947945714788403,11579.17828591536
UPST,4,11.507698404532855,2.8769246011332137,11507.698404532855
TLRY,4,11.079578530336672,2.769894632584168,11079.578530336672
MARA,6,9.983105714320997,1.6638509523868328,9983.105714320996
ASAN,2,9.46281630634036,4.73140815317018,9462.816306340359
FCEL,7,9.441869146091689,1.3488384494416699,9441.869146091689
SRPT,6,9.28939896892559,1.5482331614875984,9289.39896892559
INCY,4,8.932895973611945,2.2332239934029863,8932.895973611945
CAN,4,8.894150742544218,2.2235376856360545,8894.150742544218
HUT,5,8.484478396646667,1.6968956793293333,8484.478396646668
MSTR,6,8.086240513627766,1.3477067522712944,8086.240513627767
SOS,2,7.38310067507534,3.69155033753767,7383.10067507534
PLUG,6,6.932889164138461,1.1554815273564103,6932.889164138462
PACB,3,6.689212369548271,2.2297374565160903,6689.2123695482705
SNDL,4,6.358569762743022,1.5896424406857554,6358.569762743022
GOTU,5,6.0712871472248136,1.2142574294449626,6071.287147224813
BLDP,5,5.919506491782748,1.1839012983565496,5919.506491782748
CSIQ,2,4.997813163136582,2.498906581568291,4997.813163136582
GRWG,1,4.888112671144767,4.888112671144767,4888.112671144767
WKHS,7,4.872483592606798,0.696069084658114,4872.483592606798
FFIV,2,4.664250822408356,2.332125411204178,4664.250822408356
BBBY,5,4.534793515752702,0.9069587031505405,4534.793515752703
WULF,3,4.265352237434787,1.4217840791449292,4265.352237434788
MRNA,2,4.234548086505381,2.1172740432526904,4234.5480865053805
FUBO,6,4.1862459566381585,0.697707659439693,4186.2459566381585
BTBT,6,4.133776543109163,0.6889627571848606,4133.776543109163
OGI,3,3.968914440835065,1.322971480278355,3968.9144408350653
TRMB,2,3.9469765951407334,1.9734882975703667,3946.9765951407335
STEM,1,3.477330919047724,3.477330919047724,3477.330919047724
NTAP,2,3.2832622338580384,1.6416311169290192,3283.2622338580386
SMCI,2,2.7383965770157515,1.3691982885078757,2738.3965770157515
SKLZ,1,2.6892796680955233,2.6892796680955233,2689.2796680955234
DQ,4,2.6506508093095285,0.6626627023273821,2650.6508093095285
BKNG,3,2.6028374986088094,0.8676124995362698,2602.8374986088093
BNTX,2,2.4747336520534264,1.2373668260267132,2474.7336520534263
KLAC,1,2.2034060955648465,2.2034060955648465,2203.4060955648465
BLNK,7,2.1692282870217063,0.3098897552888152,2169.2282870217064
LRCX,1,1.817177442995265,1.817177442995265,1817.177442995265
CHPT,3,1.796834885483345,0.5989449618277817,1796.8348854833448
PENN,1,1.7537190776855338,1.7537190776855338,1753.7190776855339
TECH,1,1.485878578595192,1.485878578595192,1485.878578595192
XPEV,1,0.9548200527573852,0.9548200527573852,954.8200527573853
SWKS,1,0.6666707595815651,0.6666707595815651,666.6707595815651
SPCE,1,0.6244368510203315,0.6244368510203315,624.4368510203316
BLDR,2,0.1097222345413047,0.05486111727065235,109.7222345413047
VRTX,1,0.06205703518914844,0.06205703518914844,62.05703518914844
BB,6,-0.048954334856599946,-0.008159055809433324,-48.95433485659994
LCID,1,-0.2958707326478063,-0.2958707326478063,-295.8707326478063
VFF,1,-0.3130226337568126,-0.3130226337568126,-313.0226337568126
IONQ,3,-0.5806450837608685,-0.19354836125362285,-580.6450837608685
BTDR,1,-0.8,-0.8,-800.0
QCOM,1,-0.8948828022678573,-0.8948828022678573,-894.8828022678573
IREN,3,-0.9138925242518146,-0.30463084141727154,-913.8925242518145
PTON,1,-0.95,-0.95,-950.0
IONS,1,-0.95,-0.95,-950.0
FVRR,1,-0.95,-0.95,-950.0
CRSP,1,-0.95,-0.95,-950.0
VRSN,1,-1.0,-1.0,-1000.0
BIDU,1,-1.0,-1.0,-1000.0
TWST,1,-1.0,-1.0,-1000.0
BE,1,-1.0,-1.0,-1000.0
BIIB,1,-1.0,-1.0,-1000.0
AIG,1,-1.0,-1.0,-1000.0
ASTS,1,-1.0,-1.0,-1000.0
KMX,1,-1.0,-1.0,-1000.0
NIO,1,-1.0,-1.0,-1000.0
RUN,2,-1.5977395103779157,-0.7988697551889579,-1597.7395103779156
EDIT,2,-1.659506590943935,-0.8297532954719675,-1659.506590943935
SCHW,2,-1.7243803148075405,-0.8621901574037703,-1724.3803148075406
AMD,2,-1.75,-0.875,-1750.0
SPWR,2,-1.95,-0.975,-1950.0
BITF,2,-2.0,-1.0,-2000.0
AXON,2,-2.0,-1.0,-2000.0
NVDA,2,-2.0,-1.0,-2000.0
CIFR,2,-2.0,-1.0,-2000.0
CSGP,2,-2.0,-1.0,-2000.0
ENPH,2,-2.0,-1.0,-2000.0
ACB,2,-2.0,-1.0,-2000.0
JKS,3,-2.064756044321531,-0.6882520147738437,-2064.756044321531
CTSH,3,-2.595676621884728,-0.8652255406282426,-2595.676621884728
AMZN,3,-3.0,-1.0,-3000.0
GME,6,-3.092256268288544,-0.5153760447147574,-3092.256268288544
NVAX,10,-3.147376891181017,-0.3147376891181017,-3147.376891181017
REGN,4,-3.509140171933936,-0.877285042983484,-3509.140171933936
