year,trades,wins,losses,win_rate,avg_ret,pnl,roi
1999,7,0,7,0.0,-96.062575925822,-6724.38031480754,-96.062575925822
2000,38,18,20,47.368421052631575,80.2960661734376,30512.50514590629,80.2960661734376
2001,4,2,2,50.0,20.567177832072904,822.6871132829161,20.567177832072904
2002,2,2,0,100.0,338.143915803211,6762.878316064219,338.143915803211
2003,1,0,1,0.0,-100.0,-1000.0,-100.0
2004,3,0,3,0.0,-100.0,-3000.0,-100.0
2006,2,1,1,50.0,11.405610591372628,228.11221182745257,11.405610591372628
2008,2,1,1,50.0,249.89065815682912,4997.813163136582,249.89065815682912
2009,2,1,1,50.0,34.49186312261126,689.8372624522251,34.49186312261126
2010,4,1,3,25.0,-21.828057795026325,-873.1223118010529,-21.828057795026325
2012,1,0,1,0.0,-100.0,-1000.0,-100.0
2013,1,1,0,100.0,334.0277777777777,3340.2777777777774,334.0277777777777
2014,9,6,3,66.66666666666666,65.50014416016896,5895.012974415206,65.50014416016896
2016,2,1,1,50.0,111.26760563380283,2225.3521126760565,111.26760563380283
2017,1,0,1,0.0,-100.0,-1000.0,-100.0
2018,9,6,3,66.66666666666666,179.53448050966128,16158.103245869515,179.53448050966128
2019,4,3,1,75.0,281.89529509623685,11275.811803849476,281.89529509623685
2020,11,1,10,9.090909090909092,-55.1039386083182,-6061.433246915002,-55.1039386083182
2021,110,64,46,58.18181818181818,121.76579639684304,133942.37603652736,121.76579639684306
2022,9,8,1,88.88888888888889,346.78487529350303,31210.63877641527,346.78487529350303
2023,8,1,7,12.5,-39.37796412803313,-3150.23713024265,-39.37796412803313
2024,12,7,5,58.333333333333336,30.437524888277217,3652.5029865932665,30.437524888277224
2025,11,0,11,0.0,-88.47710744653034,-9732.481819118337,-88.47710744653034
