Entry Date,Exit Date,Ticker,Entry Price,Exit Price,Shares,Max Leverage,PnL,PnL %,Days Held,Exit Reason
1980-12-31,1981-01-07,NASDAQ,202.34,197.35,9.8844,1.0,-49.32,-2.47,7,TRAILING STOP: Price 197.35 < Stop 198.69
1981-01-07,1981-01-22,NASDAQ,197.35,197.12,9.9306,1.0,-2.28,-0.12,15,TRAILING STOP: Price 197.12 < Stop 197.62
1981-01-22,1981-02-02,NASDAQ,197.12,193.09,9.942,1.0,-40.07,-2.04,11,TRAILING STOP: Price 193.09 < Stop 193.75
1981-02-02,1981-02-13,NASDAQ,193.09,193.89,10.1454,1.0,8.12,0.41,11,TRAILING STOP: Price 193.89 < Stop 194.57
1981-01-05,1981-02-19,DXY,89.14,96.06,21.9879,2.0,304.31,15.53,45,TRAILING STOP: Price 96.06 < Stop 96.27
1981-02-19,1981-03-10,DXY,96.06,96.14,20.4584,1.0,1.64,0.08,19,TRAILING STOP: Price 96.14 < Stop 96.27
1981-03-10,1981-03-18,DXY,96.14,94.39,20.4417,1.0,-35.77,-1.82,8,TRAILING STOP: Price 94.39 < Stop 95.01
1981-02-13,1981-04-29,NASDAQ,193.89,216.22,10.1043,2.0,451.26,23.03,75,TRAILING STOP: Price 216.22 < Stop 216.69
1981-04-29,1981-05-04,NASDAQ,216.22,213.32,9.1271,1.0,-26.47,-1.34,5,TRAILING STOP: Price 213.32 < Stop 213.33
1981-05-04,1981-06-02,NASDAQ,213.32,219.59,9.2487,1.5,86.98,4.41,29,TRAILING STOP: Price 219.59 < Stop 219.97
1981-03-18,1981-06-10,DXY,94.39,106.8,20.8131,2.0,516.58,26.3,84,TRAILING STOP: Price 106.80 < Stop 106.96
1981-06-10,1981-06-15,DXY,106.8,105.55,18.5843,1.0,-23.23,-1.17,5,TRAILING STOP: Price 105.55 < Stop 106.02
1981-06-02,1981-06-18,NASDAQ,219.59,218.71,8.9926,1.0,-7.91,-0.4,16,TRAILING STOP: Price 218.71 < Stop 219.75
1981-06-18,1981-06-30,NASDAQ,218.71,215.75,9.0713,1.0,-26.85,-1.35,12,TRAILING STOP: Price 215.75 < Stop 216.83
1981-06-30,1981-07-06,NASDAQ,215.75,209.1,9.1933,1.0,-61.14,-3.08,6,TRAILING STOP: Price 209.10 < Stop 212.29
1981-06-15,1981-07-13,DXY,105.55,109.08,18.8,1.5,99.55,5.02,28,TRAILING STOP: Price 109.08 < Stop 109.23
1981-07-06,1981-07-21,NASDAQ,209.1,207.71,9.4798,1.0,-13.18,-0.66,15,TRAILING STOP: Price 207.71 < Stop 208.92
1981-07-13,1981-08-12,DXY,109.08,112.2,18.1909,1.5,85.13,4.29,30,TRAILING STOP: Price 112.20 < Stop 112.90
1981-07-21,1981-08-17,NASDAQ,207.71,209.65,9.5516,1.0,18.53,0.93,27,TRAILING STOP: Price 209.65 < Stop 209.69
1981-08-12,1981-08-20,DXY,112.2,110.82,17.6976,1.0,-24.42,-1.23,8,TRAILING STOP: Price 110.82 < Stop 111.26
1981-08-17,1981-08-21,NASDAQ,209.65,206.76,9.473,1.0,-27.38,-1.38,4,TRAILING STOP: Price 206.76 < Stop 207.00
1981-08-21,1981-08-25,NIKKEI,7995.23,7817.2202,0.2483,1.0,-44.19,-2.23,4,TRAILING STOP: Price 7817.22 < Stop 7897.40
1981-08-25,1981-08-28,NIKKEI,7817.2202,7726.5898,0.2538,1.0,-23.0,-1.16,3,TRAILING STOP: Price 7726.59 < Stop 7737.79
1981-08-28,1981-09-02,NIKKEI,7726.5898,7678.1699,0.2567,1.0,-12.43,-0.63,5,TRAILING STOP: Price 7678.17 < Stop 7679.98
1981-08-20,1981-09-03,DXY,110.82,109.7,17.9165,1.0,-20.07,-1.01,14,TRAILING STOP: Price 109.70 < Stop 109.95
1981-09-02,1981-09-14,NIKKEI,7678.1699,7542.8198,0.2583,1.0,-34.96,-1.76,12,TRAILING STOP: Price 7542.82 < Stop 7545.55
1981-09-03,1981-09-15,DXY,109.7,107.41,18.0768,1.0,-41.4,-2.09,12,TRAILING STOP: Price 107.41 < Stop 108.50
1981-09-15,1981-09-21,DXY,107.41,103.84,18.4481,1.0,-65.86,-3.32,6,TRAILING STOP: Price 103.84 < Stop 105.16
1981-09-14,1981-09-24,NIKKEI,7542.8198,7364.0298,0.2628,1.0,-46.99,-2.37,10,TRAILING STOP: Price 7364.03 < Stop 7420.22
1981-09-21,1981-10-05,DXY,103.84,105.23,19.0697,1.5,39.76,2.01,14,TRAILING STOP: Price 105.23 < Stop 105.80
1981-10-05,1981-10-16,NIKKEI,7499.75,7231.4199,0.2693,1.0,-72.26,-3.58,11,TRAILING STOP: Price 7231.42 < Stop 7337.85
1981-10-05,1981-10-30,DXY,105.23,106.13,18.8093,1.5,25.39,1.28,25,TRAILING STOP: Price 106.13 < Stop 106.54
1981-10-30,1981-11-09,DXY,106.13,104.31,19.0216,1.0,-34.62,-1.71,10,TRAILING STOP: Price 104.31 < Stop 104.37
1981-11-09,1981-11-27,DXY,104.31,103.28,19.3468,1.0,-19.93,-0.99,18,TRAILING STOP: Price 103.28 < Stop 103.65
1981-12-10,1981-12-30,DXY,105.33,105.23,19.1557,1.0,-1.92,-0.09,20,TRAILING STOP: Price 105.23 < Stop 105.40
1982-01-07,1982-01-12,NIKKEI,7691.2202,7631.77,0.2623,1.0,-15.6,-0.77,5,TRAILING STOP: Price 7631.77 < Stop 7633.78
1982-01-12,1982-02-02,NIKKEI,7631.77,7828.0,0.2643,1.5,77.8,3.86,21,TRAILING STOP: Price 7828.00 < Stop 7830.78
1982-02-02,1982-02-12,NIKKEI,7828.0,7690.29,0.2579,1.0,-35.52,-1.76,10,TRAILING STOP: Price 7690.29 < Stop 7749.54
1982-02-12,1982-02-25,NIKKEI,7690.29,7580.4502,0.2624,1.0,-28.83,-1.43,13,TRAILING STOP: Price 7580.45 < Stop 7653.92
1982-02-22,1982-03-05,DXY,110.19,110.28,17.949,1.0,1.62,0.08,11,TRAILING STOP: Price 110.28 < Stop 110.61
1982-03-05,1982-04-20,DXY,110.28,114.09,18.2954,1.5,104.56,5.18,46,TRAILING STOP: Price 114.09 < Stop 114.26
1982-04-20,1982-04-26,DXY,114.09,113.01,17.7028,1.0,-19.12,-0.95,6,TRAILING STOP: Price 113.01 < Stop 113.06
1982-04-26,1982-04-29,DXY,113.01,111.84,17.8686,1.0,-20.91,-1.04,3,TRAILING STOP: Price 111.84 < Stop 112.03
1982-04-29,1982-05-06,DXY,111.84,110.5,18.0518,1.0,-24.19,-1.2,7,TRAILING STOP: Price 110.50 < Stop 110.95
1982-05-06,1982-07-19,DXY,110.5,119.09,18.2663,2.0,313.82,15.55,74,TRAILING STOP: Price 119.09 < Stop 119.31
1982-07-19,1982-07-23,DXY,119.09,116.12,17.0015,1.0,-50.49,-2.49,4,TRAILING STOP: Price 116.12 < Stop 117.29
1982-07-23,1982-08-20,DXY,116.12,118.35,17.4276,1.5,58.3,2.88,28,TRAILING STOP: Price 118.35 < Stop 119.47
1982-08-20,1982-10-12,DXY,118.35,121.23,17.1091,1.5,73.91,3.65,53,TRAILING STOP: Price 121.23 < Stop 122.11
