Entry,Exit,Ticker,Lev,PnL%,Reason
1980-12-19,1980-12-23,DXY,1.75,-1.86,TRAIL
1980-12-23,1981-01-05,DXY,1.25,-1.44,TRAIL
1980-12-23,1981-01-07,NASDAQ,1.0,-1.26,TRAIL
1981-01-15,1981-01-20,NASDAQ,1.75,-0.99,TRAIL
1981-01-08,1981-01-21,DXY,1.25,0.89,TRAIL
1980-12-19,1981-01-22,SP500,1.0,-2.57,PULLBACK
1981-01-08,1981-01-23,NIKKEI,1.75,1.1,TRAIL
1981-01-23,1981-01-29,NIKKEI,1.75,-1.26,TRAIL
1981-01-29,1981-02-05,NIKKEI,1.25,1.1,TRAIL
1981-02-05,1981-02-13,NIKKEI,1.25,-1.22,TRAIL
1981-01-21,1981-02-19,DXY,1.0,5.99,TRAIL
1981-02-19,1981-02-20,DXY,2.0,-2.31,TRAIL
1981-02-20,1981-03-09,DXY,2.0,2.93,TRAIL
1981-02-27,1981-03-11,NASDAQ,1.25,0.09,TRAIL
1981-03-09,1981-03-16,DXY,2.0,-1.37,TRAIL
1981-03-16,1981-03-18,DXY,1.25,-1.69,TRAIL
1981-03-20,1981-03-30,DXY,1.25,1.91,TRAIL
1981-03-11,1981-04-06,NASDAQ,1.25,8.27,TRAIL
1981-04-06,1981-04-14,NASDAQ,2.0,2.01,TRAIL
1981-03-19,1981-04-15,NIKKEI,1.25,4.59,TRAIL
1981-04-15,1981-04-16,NIKKEI,2.0,-1.14,TRAIL
1981-04-14,1981-04-28,NASDAQ,2.0,3.97,TRAIL
1981-04-16,1981-05-01,NIKKEI,1.75,3.7,TRAIL
1981-03-02,1981-05-04,SP500,1.0,-1.02,TRAIL
1981-04-28,1981-05-04,NASDAQ,2.0,-3.96,TRAIL
1981-05-01,1981-05-06,NIKKEI,2.0,-2.91,TRAIL
1981-05-04,1981-05-11,NASDAQ,1.75,-0.43,TRAIL
1981-05-06,1981-05-13,NIKKEI,1.0,-1.0,TRAIL
1981-05-13,1981-05-19,NIKKEI,1.0,-1.71,TRAIL
1981-05-11,1981-06-02,NASDAQ,1.75,5.59,TRAIL
1981-05-21,1981-06-03,NIKKEI,1.75,-0.16,TRAIL
1981-06-03,1981-06-08,NIKKEI,1.75,-3.41,TRAIL
1981-03-30,1981-06-10,DXY,1.0,10.93,TRAIL
1981-06-10,1981-06-15,DXY,1.5,-1.76,TRAIL
1981-06-02,1981-06-16,NASDAQ,2.0,0.9,TRAIL
1981-06-16,1981-06-18,NASDAQ,2.0,-1.7,TRAIL
1981-06-18,1981-06-29,NASDAQ,2.0,-0.45,TRAIL
1981-05-27,1981-07-06,SP500,1.0,-4.78,STOP
1981-06-10,1981-07-07,NIKKEI,1.75,8.0,TRAIL
1981-06-15,1981-07-10,DXY,1.75,6.47,TRAIL
1981-07-07,1981-07-15,NIKKEI,2.0,0.7,TRAIL
1981-07-10,1981-07-15,DXY,2.0,-1.37,TRAIL
1981-07-15,1981-07-21,NIKKEI,2.0,-2.47,TRAIL
1981-07-15,1981-08-05,DXY,2.0,8.39,TRAIL
1981-07-21,1981-08-12,NIKKEI,2.0,4.7,TRAIL
1981-08-05,1981-08-12,DXY,1.5,-1.4,TRAIL
1981-08-12,1981-08-17,DXY,2.0,-0.34,TRAIL
1981-08-12,1981-08-18,NIKKEI,1.75,0.23,TRAIL
1981-08-17,1981-08-21,DXY,2.0,-3.57,TRAIL
1981-08-18,1981-08-24,NIKKEI,2.0,-0.8,TRAIL
1981-08-24,1981-08-25,NIKKEI,2.0,-2.53,TRAIL
1981-08-21,1981-08-28,DXY,1.75,0.49,TRAIL
1981-09-01,1981-09-03,DXY,1.75,-1.67,TRAIL
1981-10-26,1981-10-28,DXY,1.75,-1.39,TRAIL
