Entry,Exit,Ticker,Lev,PnL%,Reason
1980-12-31,1981-01-07,NASDAQ,2.0,-4.93,TRAIL
1980-12-31,1981-01-20,SP500,1.0,-3.03,TRAIL
1981-01-07,1981-01-20,NASDAQ,2.5,1.74,TRAIL
1981-01-05,1981-01-21,DXY,1.5,2.51,TRAIL
1981-01-20,1981-01-22,SP500,1.0,-1.06,MOM_REV: -4.1%
1981-01-08,1981-01-23,NIKKEI,1.0,0.63,TRAIL
1981-01-22,1981-01-23,SP500,1.5,-0.03,MOM_REV: -3.7%
1981-01-20,1981-01-26,NASDAQ,1.0,-1.3,MOM_REV: -2.0%
1981-01-23,1981-01-26,SP500,1.5,-0.45,MOM_REV: -4.4%
1981-01-26,1981-01-27,SP500,1.5,1.48,MOM_REV: -4.0%
1981-01-26,1981-01-27,NASDAQ,1.5,0.8,MOM_REV: -2.0%
1981-01-27,1981-01-28,SP500,1.5,-0.89,MOM_REV: -3.5%
1981-01-23,1981-01-29,NIKKEI,1.5,-1.08,TRAIL
1981-01-28,1981-01-29,SP500,1.5,-0.12,MOM_REV: -3.8%
1981-01-27,1981-01-30,NASDAQ,1.5,0.48,MOM_REV: -2.2%
1981-01-29,1981-01-30,SP500,1.5,-0.79,MOM_REV: -4.6%
1981-01-30,1981-02-02,SP500,1.5,-3.06,MOM_REV: -6.9%
1981-01-30,1981-02-02,NASDAQ,1.5,-3.58,TRAIL
1981-02-02,1981-02-03,SP500,1.5,1.83,MOM_REV: -6.9%
1981-02-02,1981-02-03,NASDAQ,1.5,0.37,MOM_REV: -5.2%
1981-01-21,1981-02-04,DXY,1.5,6.55,TRAIL
1981-02-03,1981-02-04,SP500,1.5,0.15,MOM_REV: -6.9%
1981-02-03,1981-02-04,NASDAQ,1.5,0.78,MOM_REV: -4.7%
1981-02-04,1981-02-05,SP500,1.5,1.21,MOM_REV: -4.0%
1981-01-29,1981-02-06,NIKKEI,1.0,0.68,TRAIL
1981-02-05,1981-02-09,SP500,1.5,-0.42,MOM_REV: -3.2%
1981-02-09,1981-02-10,SP500,1.5,-0.03,MOM_REV: -3.2%
1981-02-04,1981-02-11,NASDAQ,1.5,0.96,TRAIL
1981-02-10,1981-02-11,SP500,1.5,-1.16,MOM_REV: -3.8%
1981-02-11,1981-02-12,SP500,1.5,-0.89,MOM_REV: -4.5%
1981-02-11,1981-02-12,NASDAQ,1.5,-0.92,MOM_REV: -2.2%
1981-02-06,1981-02-13,NIKKEI,1.0,-0.78,TRAIL
1981-02-12,1981-02-13,SP500,1.0,-0.39,MOM_REV: -5.4%
1981-02-12,1981-02-13,NASDAQ,1.0,-0.37,MOM_REV: -3.0%
1981-02-13,1981-02-17,NIKKEI,1.0,-0.99,TRAIL
1981-02-13,1981-02-17,SP500,1.0,0.65,MOM_REV: -5.2%
1981-02-13,1981-02-17,NASDAQ,1.0,0.05,MOM_REV: -3.6%
1981-02-17,1981-02-18,SP500,1.0,0.52,MOM_REV: -4.4%
1981-02-17,1981-02-18,NASDAQ,1.0,0.39,MOM_REV: -3.4%
1981-02-04,1981-02-19,DXY,1.0,1.55,TRAIL
1981-02-17,1981-02-19,NIKKEI,1.0,-0.2,MOM_REV: -2.3%
1981-02-18,1981-02-19,SP500,1.0,-1.46,MOM_REV: -3.8%
1981-02-18,1981-02-19,NASDAQ,1.0,-1.02,MOM_REV: -3.0%
1981-02-19,1981-02-20,NIKKEI,1.0,-0.29,MOM_REV: -2.9%
1981-02-19,1981-02-20,SP500,1.0,-0.02,MOM_REV: -3.6%
1981-02-19,1981-02-20,NASDAQ,1.0,-0.23,MOM_REV: -2.9%
1981-02-20,1981-02-23,NIKKEI,1.0,-0.08,MOM_REV: -2.7%
1981-02-20,1981-02-23,SP500,1.0,0.61,MOM_REV: -2.2%
1981-02-20,1981-02-23,NASDAQ,1.0,0.4,MOM_REV: -2.1%
1981-02-23,1981-02-24,NIKKEI,1.0,0.23,MOM_REV: -2.2%
1981-02-23,1981-02-24,SP500,1.0,0.03,MOM_REV: -2.2%
1981-02-24,1981-02-26,NIKKEI,1.0,0.13,MOM_REV: -2.3%
1981-02-26,1981-03-04,NIKKEI,1.0,0.2,MOM_REV: -2.6%
1981-03-04,1981-03-05,NIKKEI,1.5,-0.85,TRAIL
1981-03-05,1981-03-06,NIKKEI,1.5,-0.27,MOM_REV: -2.8%
1981-02-19,1981-03-09,DXY,1.0,0.29,TRAIL
1981-03-06,1981-03-09,NIKKEI,1.5,-0.26,MOM_REV: -2.9%
1981-03-09,1981-03-10,NIKKEI,1.5,-0.2,MOM_REV: -2.8%
1981-02-23,1981-03-11,NASDAQ,1.0,2.64,TRAIL
1981-03-10,1981-03-11,NIKKEI,1.5,-0.31,MOM_REV: -2.7%
1981-03-11,1981-03-12,NIKKEI,1.5,-1.25,TRAIL
1981-03-12,1981-03-13,NIKKEI,1.5,-0.64,TRAIL
1981-03-09,1981-03-16,DXY,1.5,-1.03,TRAIL
1981-03-16,1981-03-17,DXY,2.0,-0.44,MOM_REV: -2.8%
1981-03-17,1981-03-18,DXY,2.0,-2.26,TRAIL
1981-03-18,1981-03-19,DXY,2.0,-0.32,MOM_REV: -3.5%
1981-03-19,1981-03-30,DXY,1.5,3.25,TRAIL
1981-03-11,1981-04-14,NASDAQ,1.0,7.69,TRAIL
1981-03-13,1981-04-15,NIKKEI,1.0,7.25,TRAIL
1981-04-15,1981-04-16,NIKKEI,1.5,-0.85,TRAIL
1981-03-30,1981-04-22,DXY,1.0,2.74,TRAIL
1981-04-14,1981-04-28,NASDAQ,1.0,1.99,TRAIL
1981-04-28,1981-04-29,NASDAQ,2.5,-1.62,TRAIL
1981-02-24,1981-04-30,SP500,1.0,4.25,MOM_REV: -2.3%
1981-04-16,1981-05-01,NIKKEI,1.5,3.17,TRAIL
1981-04-30,1981-05-01,SP500,2.0,-0.14,MOM_REV: -2.8%
1981-04-29,1981-05-04,NASDAQ,2.0,-2.68,TRAIL
1981-05-01,1981-05-04,SP500,2.0,-3.09,MOM_REV: -4.1%
1981-05-04,1981-05-05,SP500,1.5,-0.4,MOM_REV: -3.8%
1981-05-04,1981-05-05,NASDAQ,1.5,-1.24,TRAIL
