Date,Equity
1980-01-02,100000.0
1980-01-03,100000.0
1980-01-04,100000.0
1980-01-07,100000.0
1980-01-08,141817.89616856354
1980-01-09,141985.9592544844
1980-01-10,142367.83456861036
1980-01-11,142496.88272369758
1980-01-14,142655.84485843772
1980-01-15,142866.11842880462
1980-01-16,143023.08264267733
1980-01-17,142939.16671511397
1980-01-18,143051.05294185958
1980-01-21,143410.85026344887
1980-01-22,143248.39850658702
1980-01-23,143808.56947973973
1980-01-24,143971.48024065478
1980-01-25,144033.88773266677
1980-01-28,144391.2799807148
1980-01-29,144202.8026736591
1980-01-30,144544.8669049915
1980-01-31,144458.89881616397
1980-02-01,144698.3994466563
1980-02-04,144536.12125510522
1980-02-05,144610.76744421176
1980-02-06,144905.5256052732
1980-02-07,145121.40322788034
1980-02-08,145624.8297472443
1980-02-11,145365.59585882555
1980-02-12,145504.30660338784
1980-02-13,145655.7160851672
1980-02-14,145151.201449921
1980-02-15,119380.40533817506
1980-02-19,119255.3080560649
1980-02-20,119544.11146696273
1980-02-21,119360.32737109279
1980-02-22,119323.26207704896
1980-02-25,119059.16964770331
1980-02-26,119159.55594826129
1980-02-27,101894.58512653178
1980-02-28,101894.58512653178
1980-02-29,101894.58512653178
1980-03-03,101894.58512653178
1980-03-04,101894.58512653178
1980-03-05,101894.58512653178
1980-03-06,101894.58512653178
1980-03-07,101894.58512653178
1980-03-10,101894.58512653178
1980-03-11,101894.58512653178
1980-03-12,101894.58512653178
1980-03-13,101894.58512653178
1980-03-14,101894.58512653178
1980-03-17,101894.58512653178
1980-03-18,101894.58512653178
1980-03-19,101894.58512653178
1980-03-20,101894.58512653178
1980-03-21,101894.58512653178
1980-03-24,101894.58512653178
1980-03-25,101894.58512653178
1980-03-26,101894.58512653178
1980-03-27,101894.58512653178
1980-03-28,101894.58512653178
1980-03-31,101894.58512653178
1980-04-01,101894.58512653178
1980-04-02,101894.58512653178
1980-04-03,101894.58512653178
1980-04-07,101894.58512653178
1980-04-08,101894.58512653178
1980-04-09,101894.58512653178
1980-04-10,101894.58512653178
1980-04-11,101894.58512653178
1980-04-14,101894.58512653178
1980-04-15,101894.58512653178
1980-04-16,101894.58512653178
1980-04-17,101894.58512653178
1980-04-18,101894.58512653178
1980-04-21,101894.58512653178
1980-04-22,101894.58512653178
1980-04-23,101894.58512653178
1980-04-24,101894.58512653178
1980-04-25,101894.58512653178
1980-04-28,101894.58512653178
1980-04-29,101894.58512653178
1980-04-30,101894.58512653178
1980-05-01,101894.58512653178
1980-05-02,101894.58512653178
1980-05-05,101894.58512653178
1980-05-06,101894.58512653178
1980-05-07,101894.58512653178
1980-05-08,101894.58512653178
1980-05-09,101894.58512653178
1980-05-12,101894.58512653178
1980-05-13,101894.58512653178
1980-05-14,101894.58512653178
1980-05-15,101894.58512653178
1980-05-16,101894.58512653178
1980-05-19,101894.58512653178
1980-05-20,101894.58512653178
1980-05-21,101894.58512653178
1980-05-22,101894.58512653178
1980-05-23,127361.86395171277
1980-05-27,149553.8861297813
1980-05-28,149786.9834575562
1980-05-29,149328.12121970835
1980-05-30,149581.7950975006
1980-06-02,149438.91184281715
1980-06-03,149346.7440223574
1980-06-04,149982.93935054517
1980-06-05,150187.036413024
1980-06-06,150350.39507275217
1980-06-09,150506.04508785525
1980-06-10,150890.36057874234
1980-06-11,151342.34041535837
1980-06-12,151258.53397154075
1980-06-13,151534.13424880494
1980-06-16,151623.73028350784
1980-06-17,151644.20828849042
1980-06-18,151725.59670235944
1980-06-19,151329.96587108154
1980-06-20,151173.5097041284
1980-06-23,151344.5262463911
1980-06-24,151583.60387845073
1980-06-25,152080.91041518073
1980-06-26,152020.1216684118
1980-06-27,152013.11651789435
1980-06-30,125550.08671795424
1980-07-01,125686.9016126959
1980-07-02,125835.61292862562
1980-07-03,151906.7189003099
1980-07-07,152512.57792605518
1980-07-08,152415.35547921958
1980-07-09,152524.656907518
1980-07-10,152280.45412115683
1980-07-11,152613.6140472806
1980-07-14,153315.69101376407
1980-07-15,153259.650128237
1980-07-16,153333.076707157
1980-07-17,153942.98625990227
1980-07-18,154273.00468960754
1980-07-21,154444.53955943265
1980-07-22,154270.76825688384
1980-07-23,154224.01337861293
1980-07-24,154212.24111357104
1980-07-25,153965.6104735527
1980-07-28,154156.84906013496
1980-07-29,154515.46217371133
1980-07-30,154684.80956839817
1980-07-31,154490.6297525277
1980-08-01,154508.14355449157
1980-08-04,154366.60748201015
1980-08-05,154419.7472496376
1980-08-06,154729.0485958296
1980-08-07,155362.23760085806
1980-08-08,155526.03091266972
1980-08-11,155954.67835680014
1980-08-12,155680.03520056073
1980-08-13,155642.8666394251
1980-08-14,156311.6806832318
1980-08-15,156585.54444469232
1980-08-18,129519.38347271836
1980-08-19,129362.74070507335
1980-08-20,129594.72999485898
1980-08-21,156186.61126577845
1980-08-22,156558.91346141373
1980-08-25,156370.87822605006
1980-08-26,156425.65271433938
1980-08-27,156128.8899953043
1980-08-28,155674.05502498487
1980-08-29,155810.89651852107
1980-09-02,156200.24471190464
1980-09-03,156991.80592563757
1980-09-04,156928.90688046964
1980-09-05,156903.5710058388
1980-09-08,156422.95621210095
1980-09-09,156630.57453038535
1980-09-10,156991.86191149318
1980-09-11,157430.4268964976
1980-09-12,157613.8934726927
1980-09-15,157641.12834032121
1980-09-16,158104.33871114353
1980-09-17,158912.00889378646
1980-09-18,158769.19084081898
1980-09-19,159188.78049636184
1980-09-22,159505.8381332343
1980-09-23,159183.60153274058
1980-09-24,159388.9599684357
1980-09-25,158896.8645907331
1980-09-26,131183.89202815574
1980-09-29,108261.93731651195
1980-09-30,108261.93731651195
1980-10-01,108261.93731651195
1980-10-02,108261.93731651195
1980-10-03,108261.93731651195
1980-10-06,135320.6562893611
1980-10-07,135342.7466278219
1980-10-08,135482.1879393858
1980-10-09,135530.51029143747
1980-10-10,135566.4055114483
1980-10-13,135715.5121360828
1980-10-14,135736.2226183838
1980-10-15,155642.38438908142
1980-10-16,155218.30682985848
1980-10-17,155016.35004516412
1980-10-20,155165.76367620772
1980-10-21,154956.1741445762
1980-10-22,155166.85940369495
1980-10-23,126928.07442149884
1980-10-24,126975.58855319253
1980-10-27,126683.0850607497
1980-10-28,126708.32722641178
1980-10-29,126687.54036019543
