symbol,name,exchange,multiplier,tick_size,tick_value,margin,sector,quandl_code,csi_code,start_year
ES,E-mini S&P 500,CME,50.0,0.25,12.5,12980,Equity,CME_ES,ES,1997
NQ,E-mini Nasdaq 100,CME,20.0,0.25,5.0,17600,Equity,CME_NQ,NQ,1999
RTY,E-mini Russell 2000,CME,50.0,0.1,5.0,7150,Equity,CME_RTY,RTY,2002
YM,E-mini Dow Jones,CBOT,5.0,1.0,5.0,9900,Equity,CBOT_YM,YM,2002
ZN,10-Year Treasury Note,CBOT,1000.0,0.015625,15.625,2090,Bonds,CBOT_TY,TY,1982
ZB,30-Year Treasury Bond,CBOT,1000.0,0.03125,31.25,4400,Bonds,CBOT_US,US,1977
ZF,5-Year Treasury Note,CBOT,1000.0,0.0078125,7.8125,1320,Bonds,CBOT_FV,FV,1988
ZT,2-Year Treasury Note,CBOT,2000.0,0.0078125,15.625,880,Bonds,CBOT_TU,TU,1990
CL,Crude Oil WTI,NYMEX,1000.0,0.01,10.0,6380,Energy,CME_CL,CL,1983
NG,Natural Gas,NYMEX,10000.0,0.001,10.0,2640,Energy,CME_NG,NG,1990
HO,Heating Oil,NYMEX,42000.0,0.0001,4.2,5500,Energy,CME_HO,HO,1978
RB,RBOB Gasoline,NYMEX,42000.0,0.0001,4.2,6600,Energy,CME_RB,RB,2005
GC,Gold,COMEX,100.0,0.1,10.0,9900,Metals,CME_GC,GC,1974
SI,Silver,COMEX,5000.0,0.005,25.0,11000,Metals,CME_SI,SI,1963
HG,Copper,COMEX,25000.0,0.0005,12.5,4950,Metals,CME_HG,HG,1959
PL,Platinum,NYMEX,50.0,0.1,5.0,2750,Metals,CME_PL,PL,1968
ZC,Corn,CBOT,50.0,0.25,12.5,1540,Grains,CBOT_C,C,1959
ZS,Soybeans,CBOT,50.0,0.25,12.5,2475,Grains,CBOT_S,S,1959
ZW,Wheat,CBOT,50.0,0.25,12.5,1980,Grains,CBOT_W,W,1959
ZM,Soybean Meal,CBOT,100.0,0.1,10.0,2200,Grains,CBOT_SM,SM,1959
ZL,Soybean Oil,CBOT,600.0,0.01,6.0,1430,Grains,CBOT_BO,BO,1959
EC,Euro FX,CME,125000.0,5e-05,6.25,2310,FX,CME_EC,EC,1999
JY,Japanese Yen,CME,12500000.0,5e-07,6.25,3300,FX,CME_JY,JY,1972
BP,British Pound,CME,62500.0,0.0001,6.25,2640,FX,CME_BP,BP,1972
CD,Canadian Dollar,CME,100000.0,5e-05,5.0,1100,FX,CME_CD,CD,1972
SF,Swiss Franc,CME,125000.0,0.0001,12.5,3850,FX,CME_SF,SF,1972
AD,Australian Dollar,CME,100000.0,0.0001,10.0,1540,FX,CME_AD,AD,1987
DX,US Dollar Index,ICE,1000.0,0.005,5.0,2200,FX,ICE_DX,DX,1985
KC,Coffee C,ICE,375.0,0.05,18.75,5500,Softs,ICE_KC,KC,1972
SB,Sugar #11,ICE,1120.0,0.01,11.2,1210,Softs,ICE_SB,SB,1961
CT,Cotton #2,ICE,500.0,0.01,5.0,2750,Softs,ICE_CT,CT,1959
CC,Cocoa,ICE,10.0,1.0,10.0,2310,Softs,ICE_CC,CC,1959
OJ,Orange Juice,ICE,150.0,0.05,7.5,1650,Softs,ICE_OJ,OJ,1966
LC,Live Cattle,CME,400.0,0.025,10.0,2200,Meats,CME_LC,LC,1964
LH,Lean Hogs,CME,400.0,0.025,10.0,1320,Meats,CME_LH,LH,1966
FC,Feeder Cattle,CME,500.0,0.025,12.5,3300,Meats,CME_FC,FC,1971
