Price,Close,High,Low,Open,Volume
Ticker,ZB=F,ZB=F,ZB=F,ZB=F,ZB=F
Date,,,,,
2000-09-21,98.46875,98.5,98.09375,98.125,45131
2000-09-22,98.125,98.15625,98.0625,98.09375,36588
2000-09-25,98.375,98.40625,98.34375,98.34375,38899
2000-09-26,98.84375,98.84375,98.75,98.78125,66654
2000-09-27,98.375,98.375,98.3125,98.34375,34663
2000-09-28,98.5625,98.59375,98.46875,98.53125,41809
2000-09-29,98.625,98.6875,98.5625,98.6875,35290
2000-10-02,98.1875,98.1875,98.0625,98.125,46915
2000-10-03,97.90625,98.0625,97.84375,97.875,53638
2000-10-04,97.875,97.90625,97.8125,97.84375,43379
2000-10-05,98.375,98.375,98.25,98.25,65873
2000-10-06,99.09375,99.15625,99.03125,99.15625,65873
2000-10-09,98.875,99.15625,99.03125,99.15625,40254
2000-10-10,99.375,99.40625,99.125,99.1875,71280
2000-10-11,99.25,99.34375,99.1875,99.3125,65035
2000-10-12,99.53125,99.75,98.9375,99.09375,53388
2000-10-13,99.4375,99.8125,99.15625,99.53125,32274
2000-10-16,99.375,99.5,99.15625,99.375,56433
2000-10-17,100.03130340576172,100.15630340576172,99.21875,99.34375,68630
2000-10-18,100.0,100.875,99.875,100.09380340576172,40424
2000-10-19,100.3125,100.59380340576172,99.78125,99.9375,29068
2000-10-20,100.65630340576172,100.84380340576172,100.15630340576172,100.25,46736
2000-10-23,101.21880340576172,101.3125,100.5,100.65630340576172,51739
2000-10-24,100.8125,101.25,100.59380340576172,101.21880340576172,52130
2000-10-25,100.34380340576172,101.125,100.15630340576172,100.90630340576172,82379
2000-10-26,100.5,101.34380340576172,100.1875,100.3125,33558
2000-10-27,100.4375,100.84380340576172,100.125,100.5,27608
2000-10-30,100.25,100.5625,100.1875,100.40630340576172,44970
2000-10-31,99.78125,100.65630340576172,99.75,100.34380340576172,51447
2000-11-01,100.03130340576172,100.15630340576172,99.53125,99.84375,27870
2000-11-02,99.9375,100.1875,99.84375,100.0,59178
2000-11-03,99.09375,100.1875,99.0,99.875,39354
2000-11-06,98.75,99.15625,98.5,99.03125,36908
2000-11-07,98.78125,99.0,98.46875,98.875,86321
2000-11-08,99.125,99.71875,98.1875,99.0,68472
2000-11-09,99.28125,99.8125,99.09375,99.125,33499
2000-11-10,99.3125,99.5625,99.03125,99.28125,40059
2000-11-13,99.65625,99.84375,99.34375,99.4375,43624
2000-11-14,99.96875,100.0625,99.21875,99.625,48526
2000-11-15,100.4375,100.5625,99.84375,99.9375,43453
2000-11-16,100.8125,100.84380340576172,100.40630340576172,100.4375,36097
2000-11-17,100.375,100.875,100.25,100.78130340576172,28146
2000-11-20,100.5625,100.78130340576172,100.34380340576172,100.34380340576172,21798
2000-11-21,100.875,100.9375,100.34380340576172,100.5625,40623
2000-11-22,101.8125,101.875,100.75,100.875,16222
2000-11-24,101.53130340576172,101.625,101.28130340576172,101.53130340576172,30122
