Asset,Ticker,Days,From,To,Status
SP500,^GSPC,11344,1980-01-02,2024-12-30,OK
NASDAQ,^IXIC,11344,1980-01-02,2024-12-30,OK
DOW,^DJI,8310,1992-01-02,2024-12-30,OK
RUSSELL2000,^RUT,9400,1987-09-10,2024-12-30,OK
NIKKEI,^N225,11070,1980-01-04,2024-12-30,OK
FTSE,^FTSE,10355,1984-01-03,2024-12-30,OK
DAX,^GDAXI,9356,1987-12-30,2024-12-30,OK
HANGSENG,^HSI,9379,1986-12-31,2024-12-30,OK
GOLD,GC=F,6105,2000-08-30,2024-12-30,OK
SILVER,SI=F,6107,2000-08-30,2024-12-30,OK
CRUDE,CL=F,6114,2000-08-23,2024-12-30,OK
NATGAS,NG=F,6111,2000-08-30,2024-12-30,OK
COPPER,HG=F,6110,2000-08-30,2024-12-30,OK
PLATINUM,PL=F,6133,1997-10-29,2024-12-30,OK
CORN,ZC=F,6118,2000-07-17,2024-12-30,OK
WHEAT,ZW=F,6130,2000-07-17,2024-12-30,OK
SOYBEANS,ZS=F,6110,2000-09-15,2024-12-30,OK
COFFEE,KC=F,6265,2000-01-03,2024-12-30,OK
SUGAR,SB=F,6228,2000-03-01,2024-12-30,OK
COTTON,CT=F,6267,2000-01-03,2024-12-30,OK
TBOND,ZB=F,6101,2000-09-21,2024-12-30,OK
TNOTE10,ZN=F,6095,2000-09-21,2024-12-30,OK
EURUSD,EURUSD=X,5472,2003-12-01,2024-12-30,OK
GBPUSD,GBPUSD=X,5484,2003-12-01,2024-12-30,OK
USDJPY,USDJPY=X,7306,1996-10-30,2024-12-30,OK
DXY,DX-Y.NYB,11471,1980-01-02,2024-12-30,OK
BTC,BTC-USD,3758,2014-09-17,2024-12-30,OK
ETH,ETH-USD,2609,2017-11-09,2024-12-30,OK
XLF,XLF,6547,1998-12-22,2024-12-30,OK
XLE,XLE,6547,1998-12-22,2024-12-30,OK
XLK,XLK,6547,1998-12-22,2024-12-30,OK
XLV,XLV,6547,1998-12-22,2024-12-30,OK
