ticker,entry_date,exit_date,entry_price,exit_price,entry_momentum,days_held,return_pct,pnl,exit_reason,year
ROKU,2018-11-07,2019-04-02,58.86000061035156,70.63999938964844,2.0768428224015065,146,-20.013589291783248,-950.6454913597044,STOP_LOSS,2018
CVNA,2018-10-02,2019-04-12,54.459999084472656,66.0,2.4798722307947965,192,-21.18986615777885,-1059.4933078889426,STOP_LOSS,2018
ROKU,2019-12-13,2020-10-13,132.49000549316406,238.5749969482422,2.9267930913506888,305,-80.07018420763193,-3923.033118412223,STOP_LOSS,2019
TDOC,2020-08-13,2020-10-13,192.0800018310547,231.8000030517578,2.123252062293572,61,-20.678884236808333,-962.5024731718456,STOP_LOSS,2020
W,2020-10-30,2020-11-06,248.02999877929688,301.1300048828125,2.016295617825524,7,-21.40870312657837,-901.8245614627951,STOP_LOSS,2020
PTON,2020-11-09,2020-12-14,100.01000213623048,121.91000366210938,3.2521258584082364,35,-21.897811276963473,-868.738537568551,STOP_LOSS,2020
DOCU,2020-09-08,2020-12-17,205.6300048828125,247.0,2.5108418295071946,100,-20.118656876346453,-889.6052581800022,STOP_LOSS,2020
TDOC,2020-10-26,2021-01-22,212.1499938964844,263.0,2.04244921387042,88,-23.96889350292753,-1062.8110959913238,STOP_LOSS,2020
PINS,2021-01-28,2021-02-11,68.51000213623047,87.02999877929688,2.0287356142535096,14,-27.032544249874412,-1041.4969031739188,STOP_LOSS,2021
CVNA,2021-01-28,2021-02-19,256.010009765625,308.739990234375,2.13162091456422,22,-20.59684327070799,-835.3108438603048,STOP_LOSS,2021
W,2021-02-22,2021-03-01,266.9599914550781,335.6499938964844,2.331170370454993,7,-25.730448246948214,-970.4635390985937,STOP_LOSS,2021
SNAP,2021-03-08,2021-03-15,52.88999938964844,63.7400016784668,3.0684614915114183,7,-20.514279474432946,-692.1069817384029,STOP_LOSS,2021
PINS,2021-03-29,2021-04-06,69.37999725341797,83.29000091552734,3.6439089158018536,8,-20.049011549109146,-635.998236363552,STOP_LOSS,2021
CVNA,2021-03-29,2021-06-22,248.7100067138672,313.1000061035156,4.07157426734711,85,-25.889589341584895,-864.4990130202491,STOP_LOSS,2021
SNAP,2021-05-07,2021-06-23,54.70000076293945,66.3499984741211,2.013774210060776,47,-21.297984549709163,-668.8456351204915,STOP_LOSS,2021
PINS,2021-05-28,2021-06-28,65.30000305175781,78.80000305175781,2.218334159945041,31,-20.673812203806005,-616.7818166299194,STOP_LOSS,2021
