Entry,Exit,Ticker,MaxLev,PnL%,Reason
1980-12-31,1981-01-07,NASDAQ,1.0,-2.47,TRAIL
1980-12-31,1981-01-08,SP500,2.0,-1.99,PULL:3.7%
1981-01-07,1981-01-20,NASDAQ,2.0,1.39,TRAIL
1981-01-09,1981-01-21,SP500,1.0,-1.59,PULL:2.5%
1981-01-15,1981-01-21,DXY,1.0,-0.57,TRAIL
1981-01-08,1981-01-23,NIKKEI,1.0,0.63,TRAIL
1981-01-23,1981-01-29,NIKKEI,1.0,-0.72,TRAIL
1981-01-20,1981-02-02,NASDAQ,1.0,-2.83,STOP:-2.8%
1981-01-21,1981-02-04,DXY,2.0,8.74,TRAIL
1981-01-29,1981-02-06,NIKKEI,1.0,0.68,TRAIL
1981-02-06,1981-02-13,NIKKEI,1.0,-0.78,TRAIL
1981-02-04,1981-02-19,DXY,2.0,3.11,TRAIL
1981-02-19,1981-03-04,DXY,2.0,2.39,TRAIL
1981-02-26,1981-03-10,NASDAQ,2.0,2.96,TRAIL
1981-03-04,1981-03-10,DXY,1.0,-1.1,TRAIL
1981-03-10,1981-04-06,NASDAQ,2.0,12.3,TRAIL
1981-02-27,1981-04-13,SP500,2.0,1.43,PULL:2.9%
1981-04-06,1981-04-14,NASDAQ,3.0,3.01,TRAIL
1981-03-16,1981-04-15,NIKKEI,1.0,4.73,TRAIL
1981-03-27,1981-04-22,DXY,3.0,5.53,TRAIL
1981-04-14,1981-04-28,NASDAQ,3.0,5.96,TRAIL
1981-04-28,1981-04-29,NASDAQ,2.0,-1.3,TRAIL
1981-04-15,1981-05-01,NIKKEI,1.0,1.53,TRAIL
1981-04-13,1981-05-04,SP500,1.0,-1.86,PULL:3.6%
1981-04-29,1981-05-04,NASDAQ,2.0,-2.68,TRAIL
1981-04-22,1981-05-06,DXY,2.0,6.31,TRAIL
1981-05-01,1981-05-06,NIKKEI,1.0,-1.46,TRAIL
1981-05-06,1981-05-08,DXY,2.0,0.02,TRAIL
1981-05-08,1981-05-20,DXY,3.0,5.32,TRAIL
1981-05-20,1981-05-28,DXY,3.0,2.4,TRAIL
1981-05-04,1981-06-02,NASDAQ,3.0,8.82,TRAIL
1981-06-01,1981-06-03,NIKKEI,1.0,-1.44,TRAIL
1981-05-28,1981-06-10,DXY,3.0,6.05,TRAIL
1981-06-10,1981-06-15,DXY,2.0,-2.34,TRAIL
1981-06-02,1981-06-16,NASDAQ,3.0,1.35,TRAIL
1981-06-16,1981-06-22,NASDAQ,1.0,-0.9,TRAIL
1981-06-22,1981-06-30,NASDAQ,1.0,-1.3,TRAIL
1981-05-27,1981-07-01,SP500,1.0,-2.99,STOP:-3.0%
1981-06-30,1981-07-02,NASDAQ,1.0,-1.37,TRAIL
1981-07-02,1981-07-06,NASDAQ,1.0,-1.74,TRAIL
1981-06-11,1981-07-07,NIKKEI,2.0,6.8,TRAIL
1981-06-15,1981-07-10,DXY,3.0,11.08,TRAIL
1981-07-10,1981-07-15,DXY,3.0,-2.06,TRAIL
1981-07-06,1981-07-20,NASDAQ,1.0,0.08,TRAIL
1981-07-07,1981-07-20,NIKKEI,1.0,0.17,TRAIL
1981-07-15,1981-07-22,DXY,3.0,4.03,TRAIL
1981-07-22,1981-08-05,DXY,3.0,8.44,TRAIL
1981-08-05,1981-08-12,DXY,3.0,-2.81,TRAIL
1981-07-31,1981-08-17,NASDAQ,1.0,-0.94,TRAIL
1981-08-04,1981-08-18,SP500,1.0,-0.82,PULL:2.8%
1981-08-05,1981-08-18,NIKKEI,1.0,0.77,TRAIL
1981-08-12,1981-08-18,DXY,1.0,-0.51,TRAIL
1981-08-18,1981-08-21,DXY,1.0,-1.45,TRAIL
1981-08-18,1981-08-24,NIKKEI,1.0,-0.4,TRAIL
1981-08-24,1981-08-25,NIKKEI,1.0,-1.27,TRAIL
1981-08-21,1981-08-28,DXY,1.0,0.28,TRAIL
1981-08-28,1981-09-04,DXY,1.0,-0.88,TRAIL
1981-09-04,1981-09-14,DXY,1.0,-0.26,TRAIL
1981-09-14,1981-09-15,DXY,1.0,-1.52,TRAIL
1981-09-15,1981-09-17,DXY,1.0,-1.52,TRAIL
1981-09-25,1981-10-05,DXY,1.0,-2.22,TRAIL
1981-10-09,1981-10-15,NIKKEI,1.0,-2.18,TRAIL
1981-10-21,1981-10-29,DXY,1.0,-0.13,TRAIL
1981-10-27,1981-11-11,NIKKEI,1.0,3.05,TRAIL
1981-10-30,1981-11-16,NASDAQ,1.0,0.98,TRAIL
1981-11-16,1981-11-24,NIKKEI,1.0,-0.94,TRAIL
1981-11-24,1981-11-27,NIKKEI,1.0,-0.62,TRAIL
1981-12-07,1981-12-08,NASDAQ,1.0,-0.79,TRAIL
1981-12-07,1981-12-14,NIKKEI,1.0,-1.73,TRAIL
1981-12-07,1981-12-15,DXY,1.0,1.08,TRAIL
1981-12-15,1981-12-30,DXY,1.0,-0.23,TRAIL
1982-01-04,1982-01-07,NIKKEI,1.0,-0.36,TRAIL
1982-01-07,1982-01-08,NIKKEI,1.0,-0.38,TRAIL
