Entry,Exit,Ticker,Entry$,Exit$,Leverage,PnL$,PnL%,Days,Reason
1980-12-31,1981-01-07,NASDAQ,202.34,197.35,1.0,-123.31,-2.47,7,TRAILING STOP
1981-01-07,1981-01-22,NASDAQ,197.35,197.12,1.5,-8.32,-0.17,15,TRAILING STOP
1981-01-22,1981-02-02,NASDAQ,197.12,193.09,1.0,-97.23,-2.04,11,TRAILING STOP
1981-02-02,1981-02-12,NASDAQ,193.09,194.61,1.0,37.4,0.79,10,TRAILING STOP
1981-01-05,1981-02-19,DXY,89.14,96.06,2.5,921.86,19.41,45,TRAILING STOP
1981-02-19,1981-03-09,DXY,96.06,96.34,1.0,13.99,0.29,18,TRAILING STOP
1981-03-09,1981-03-17,DXY,96.34,95.47,1.0,-43.34,-0.9,8,TRAILING STOP
1981-03-17,1981-03-19,DXY,95.47,94.24,1.0,-61.81,-1.29,2,TRAILING STOP
1981-02-12,1981-04-29,NASDAQ,194.61,216.22,2.5,1319.44,27.76,76,TRAILING STOP
1981-04-29,1981-05-04,NASDAQ,216.22,213.32,1.0,-65.16,-1.34,5,TRAILING STOP
1981-05-04,1981-06-02,NASDAQ,213.32,219.59,1.5,214.05,4.41,29,TRAILING STOP
1981-03-19,1981-06-10,DXY,94.24,106.8,2.5,1597.43,33.32,83,TRAILING STOP
1981-06-10,1981-06-15,DXY,106.8,105.55,1.0,-57.84,-1.17,5,TRAILING STOP
1981-06-02,1981-06-18,NASDAQ,219.59,218.71,1.0,-19.5,-0.4,16,TRAILING STOP
1981-06-18,1981-06-30,NASDAQ,218.71,215.75,1.0,-66.78,-1.35,12,TRAILING STOP
1981-06-30,1981-07-02,NASDAQ,215.75,212.8,1.0,-67.42,-1.37,2,TRAILING STOP
1981-07-02,1981-07-06,NASDAQ,212.8,209.1,1.0,-85.68,-1.74,4,TRAILING STOP
1981-06-15,1981-07-13,DXY,105.55,109.08,1.5,247.77,5.02,28,TRAILING STOP
1981-07-13,1981-07-15,DXY,109.08,108.7,1.0,-17.2,-0.35,2,TRAILING STOP
1981-07-06,1981-07-21,NASDAQ,209.1,207.71,1.0,-32.73,-0.66,15,TRAILING STOP
1981-07-15,1981-08-12,DXY,108.7,112.2,2.5,397.31,8.05,28,TRAILING STOP
1981-07-21,1981-08-17,NASDAQ,207.71,209.65,1.5,69.12,1.4,27,TRAILING STOP
1981-08-17,1981-08-18,NASDAQ,209.65,207.01,1.0,-62.41,-1.26,1,TRAILING STOP
1981-08-12,1981-08-20,DXY,112.2,110.82,1.0,-60.92,-1.23,8,TRAILING STOP
1981-08-18,1981-08-24,NASDAQ,207.01,200.76,1.0,-149.53,-3.02,6,TRAILING STOP
1981-08-24,1981-08-25,NIKKEI,7917.53,7817.22,1.0,-62.62,-1.27,1,TRAILING STOP
1981-08-25,1981-08-28,NIKKEI,7817.22,7726.59,1.0,-57.27,-1.16,3,TRAILING STOP
1981-08-20,1981-09-02,DXY,110.82,110.09,1.0,-32.61,-0.66,13,TRAILING STOP
1981-08-28,1981-09-02,NIKKEI,7726.59,7678.17,1.0,-30.94,-0.63,5,TRAILING STOP
1981-09-02,1981-09-11,NIKKEI,7678.17,7543.45,1.0,-90.9,-1.75,9,TRAILING STOP
1981-09-02,1981-09-15,DXY,110.09,107.41,1.0,-119.81,-2.43,13,TRAILING STOP
1981-09-15,1981-09-18,DXY,107.41,105.59,1.0,-83.43,-1.69,3,TRAILING STOP
1981-09-11,1981-09-24,NIKKEI,7543.45,7364.03,1.0,-117.26,-2.38,13,TRAILING STOP
1981-09-18,1981-10-05,DXY,105.59,105.23,1.5,-25.16,-0.51,17,TRAILING STOP
1981-10-05,1981-10-09,DXY,105.23,103.86,1.0,-63.81,-1.3,4,TRAILING STOP
1981-10-05,1981-10-16,NIKKEI,7499.75,7231.42,1.0,-184.58,-3.58,11,TRAILING STOP
1981-10-09,1981-10-29,DXY,103.86,107.14,1.5,232.02,4.74,20,TRAILING STOP
1981-10-29,1981-11-02,DXY,107.14,104.99,1.0,-103.51,-2.01,4,TRAILING STOP
1981-11-02,1981-11-24,DXY,104.99,103.95,1.0,-51.04,-0.99,22,TRAILING STOP
1981-12-04,1981-12-14,NIKKEI,7716.13,7654.17,1.0,-41.36,-0.8,10,TRAILING STOP
1981-12-10,1981-12-30,DXY,105.33,105.23,1.0,-4.65,-0.09,20,TRAILING STOP
1981-12-14,1982-01-08,NIKKEI,7654.17,7662.22,1.0,5.16,0.11,25,TRAILING STOP
1982-01-08,1982-02-02,NIKKEI,7662.22,7828.0,1.5,167.09,3.25,25,TRAILING STOP
1982-02-02,1982-02-10,NIKKEI,7828.0,7761.11,1.0,-41.97,-0.85,8,TRAILING STOP
1982-02-10,1982-02-17,NIKKEI,7761.11,7644.39,1.0,-73.84,-1.5,7,TRAILING STOP
1982-01-11,1982-02-18,DXY,106.54,110.31,1.5,259.6,5.31,38,TRAILING STOP
1982-02-18,1982-02-24,NIKKEI,7683.76,7664.02,1.0,-13.27,-0.26,6,TRAILING STOP
1982-02-24,1982-02-26,NIKKEI,7664.02,7548.51,1.0,-74.12,-1.51,2,TRAILING STOP
1982-02-18,1982-03-05,DXY,110.31,110.28,1.0,-1.33,-0.03,15,TRAILING STOP
1982-03-05,1982-04-19,DXY,110.28,114.45,1.5,292.64,5.67,45,TRAILING STOP
1982-04-19,1982-04-23,DXY,114.45,113.72,1.0,-33.0,-0.64,4,TRAILING STOP
1982-04-23,1982-04-27,DXY,113.72,112.89,1.0,-37.75,-0.73,4,TRAILING STOP
1982-04-27,1982-04-29,DXY,112.89,111.84,1.0,-48.09,-0.93,2,TRAILING STOP
1982-04-29,1982-05-05,DXY,111.84,111.03,1.0,-37.43,-0.72,6,TRAILING STOP
1982-05-05,1982-05-07,DXY,111.03,109.86,1.0,-54.44,-1.05,2,TRAILING STOP
1982-05-07,1982-07-12,DXY,109.86,119.22,2.5,1099.83,21.3,66,TRAILING STOP
1982-07-12,1982-07-20,DXY,119.22,118.31,1.0,-39.83,-0.76,8,TRAILING STOP
1982-07-20,1982-07-23,DXY,118.31,116.12,1.0,-96.56,-1.85,3,TRAILING STOP
1982-07-23,1982-08-18,DXY,116.12,119.65,1.5,237.65,4.56,26,TRAILING STOP
1982-08-18,1982-08-20,DXY,119.65,118.35,1.0,-56.75,-1.09,2,TRAILING STOP
1982-08-20,1982-08-24,DXY,118.35,116.95,1.0,-61.76,-1.18,4,TRAILING STOP
1982-09-03,1982-09-30,SP500,122.68,120.42,1.0,-91.31,-1.84,27,TRAILING STOP
1982-08-24,1982-10-12,DXY,116.95,121.23,2.5,477.38,9.15,49,TRAILING STOP
1982-10-12,1982-11-10,DXY,121.23,124.85,1.5,223.48,4.48,29,TRAILING STOP
1982-09-30,1982-11-16,NASDAQ,187.65,224.97,2.5,2462.27,49.72,47,TRAILING STOP
1982-11-10,1982-11-19,DXY,124.85,123.72,1.0,-45.26,-0.91,9,TRAILING STOP
1982-11-19,1982-11-26,DXY,123.72,122.64,1.0,-44.63,-0.87,7,TRAILING STOP
