date,equity
1981-01-02,100000.0
1981-01-05,100641.65279562445
1981-01-06,100555.45351562879
1981-01-07,98510.99114679848
1981-01-08,97323.13957028808
1981-01-09,97564.12023531081
1981-01-12,97874.66007635107
1981-01-13,97907.44889337345
1981-01-14,97886.14531106333
1981-01-15,98304.32139629406
1981-01-16,98895.26090564315
1981-01-19,98973.47553433225
1981-01-20,97524.63720638133
1981-01-21,97188.11220411246
1981-01-22,97167.46300419315
1981-01-23,97232.66061711626
1981-01-26,96888.25461788819
1981-01-27,97923.15724251518
1981-01-28,97922.57048675235
1981-01-29,97796.64741558276
1981-01-30,98650.00397497037
1981-02-02,97518.11915981094
1981-02-03,98001.8194543234
1981-02-04,97627.33834808356
1981-02-05,98637.3003300539
1981-02-06,98833.72160806625
1981-02-09,98139.72129393539
1981-02-10,98408.09474329272
1981-02-11,98210.4379842621
1981-02-12,97913.83856650896
1981-02-13,99175.14912321724
1981-02-16,98926.43258528753
1981-02-17,98463.90160526008
1981-02-18,98502.04720720899
1981-02-19,96783.9089236761
1981-02-20,95889.70370111338
1981-02-23,96554.53016953738
1981-02-24,96932.38527230828
1981-02-25,96814.56347473004
1981-02-26,97511.27341899728
1981-02-27,98291.39228662325
1981-03-02,99375.89684512517
1981-03-03,98333.09518736014
1981-03-04,98104.79970977208
1981-03-05,97850.54994873275
1981-03-06,97987.35463987807
1981-03-09,97562.04486129533
1981-03-10,96337.84689293262
1981-03-11,96302.54261995466
1981-03-12,97820.46059053397
1981-03-13,97748.02707009236
1981-03-16,98025.29196195042
1981-03-17,97448.15892047177
1981-03-18,96883.49211350143
1981-03-19,96014.02378692159
1981-03-20,97194.06917186666
1981-03-23,99170.39250053072
1981-03-24,98698.49917391055
1981-03-25,100255.1173328217
1981-03-26,100527.2823963307
1981-03-27,100113.69299663749
1981-03-30,99308.43152755604
1981-03-31,100832.28527628088
1981-04-01,101357.67769268251
1981-04-02,102010.7119057113
1981-04-03,102281.47315711036
1981-04-06,102255.15428989197
1981-04-07,101429.53215054133
1981-04-08,102351.2370065776
1981-04-09,102948.23292127471
1981-04-10,103729.45093171374
1981-04-13,103703.44242492119
1981-04-14,102806.19643163492
1981-04-15,103958.20816626749
1981-04-16,104513.01437176406
1981-04-17,104760.99717862607
1981-04-20,105595.08655233703
1981-04-21,104714.85565324865
1981-04-22,104424.19674437604
1981-04-23,104724.54269244506
1981-04-24,105851.28690859758
1981-04-27,106400.81500550393
1981-04-28,105570.54447062575
1981-04-29,105399.94451181567
1981-04-30,105874.30151891109
1981-05-01,104849.62830057657
1981-05-04,104244.98571610593
1981-05-05,104092.99340449706
1981-05-06,103109.30325077343
1981-05-07,104199.6508523761
1981-05-08,104413.0984320473
1981-05-11,104563.34972615627
1981-05-12,104827.38123800358
1981-05-13,104386.27862978567
1981-05-14,106155.45975639301
1981-05-15,106916.88845797884
1981-05-18,106509.17612550443
1981-05-19,104912.09248415669
1981-05-20,105048.63734682086
