date,equity
1981-01-02,100000.0
1981-01-05,100144.035802772
1981-01-06,100149.57484143013
1981-01-07,99607.61185107531
1981-01-08,99544.01801143165
1981-01-09,99686.25607380019
1981-01-12,99737.08722529588
1981-01-13,99747.1449971676
1981-01-14,99751.56590509039
1981-01-15,99806.36572376893
1981-01-16,99898.2168737239
1981-01-19,99959.94557724407
1981-01-20,99762.9432297399
1981-01-21,99752.0612212956
1981-01-22,99719.98797039117
1981-01-23,99713.9432626825
1981-01-26,99664.7633514368
1981-01-27,99825.83510497406
1981-01-28,99834.44973481337
1981-01-29,99798.59853869797
1981-01-30,99908.04673710762
1981-02-02,99665.17118930061
1981-02-03,99723.72889015377
1981-02-04,99697.44216543822
1981-02-05,99830.09138275778
1981-02-06,99870.81305721385
1981-02-09,99772.64001073288
1981-02-10,99815.96380032868
1981-02-11,99797.97838447244
1981-02-12,99770.795248032
1981-02-13,99855.25338532345
1981-02-16,99815.98567137853
1981-02-17,99766.99053193715
1981-02-18,99776.82147121339
1981-02-19,99596.58863788623
1981-02-20,99530.0841683151
1981-02-23,99595.88638275613
1981-02-24,99644.22371140259
1981-02-25,99641.14067947774
1981-02-26,99740.23549470433
1981-02-27,99836.87062741825
1981-03-02,99954.01851153321
1981-03-03,99840.58405690946
1981-03-04,99849.83609830425
1981-03-05,99813.30998405187
1981-03-06,99842.56238861715
1981-03-09,99875.77343531558
1981-03-10,99772.35882082605
1981-03-11,99775.59976887846
1981-03-12,100008.30224854709
1981-03-13,100038.82043534303
1981-03-16,100075.05428920647
1981-03-17,100012.23766430994
1981-03-18,99978.83579219447
1981-03-19,99963.78643569029
1981-03-20,100122.24210299396
1981-03-23,100378.72706908222
1981-03-24,100336.30027777795
1981-03-25,100534.04362671192
1981-03-26,100546.09582278294
1981-03-27,100473.56538052396
1981-03-30,100402.69512033183
1981-03-31,100573.6477237095
1981-04-01,100642.37392529447
1981-04-02,100732.78045794854
1981-04-03,100782.70738044007
1981-04-06,100799.29126340612
1981-04-07,100741.20901552626
1981-04-08,100903.95473324947
1981-04-09,101018.470503563
1981-04-10,101164.75765883489
1981-04-13,101187.47002759906
1981-04-14,101055.11663097015
1981-04-15,101240.50437358147
1981-04-16,101310.78997484987
1981-04-17,101355.92315750125
1981-04-20,101484.43925722392
1981-04-21,101393.23804266579
1981-04-22,101356.08738191177
1981-04-23,101426.24967435918
1981-04-24,101588.32029556786
1981-04-27,101674.68315438708
1981-04-28,101568.1940235919
1981-04-29,101567.27598222802
1981-04-30,101654.15442378487
1981-05-01,101508.53831670803
1981-05-04,101437.94224618278
1981-05-05,101436.90396036937
1981-05-06,101224.96191661316
1981-05-07,101422.21589967638
1981-05-08,101394.25964777314
1981-05-11,101413.44267871711
1981-05-12,101480.93242163488
1981-05-13,101435.78235877259
1981-05-14,101666.50266244251
1981-05-15,101765.3518173034
1981-05-18,101724.23173447122
1981-05-19,101580.21894280783
1981-05-20,101598.01282071645
1981-05-21,101730.84781312918
1981-05-22,101763.67283784423
1981-05-25,101780.9871187086
