pattern,signals,win_rate,avg_short_return,quality_score
down_50_from_high,3329,76.29918894562931,7.008080241155021,5.347108384660183
deep_oversold,1314,67.65601217656013,-1.242395557285167,-0.8405552895178947
combo_200_death,2558,66.37998436278343,-2.0902877865121368,-1.3875327058239284
below_200sma,2962,66.07022282241729,-3.1049811476009705,-2.051467962814011
death_cross,1792,57.25446428571429,-12.368503840769556,-7.081520614190606
triple_breakdown,6384,53.822055137844615,-18.543135635392442,-9.980296685966232
macd_bearish,479,49.26931106471816,-20.888058676266137,-10.291402604590415
momentum_loss,10435,51.41351221849545,-22.48125226544476,-11.558401380365225
extreme_mom_300,3344,61.39354066985646,-19.151452329805046,-11.757754674967034
lower_highs,5054,52.65136525524338,-22.38777008701207,-11.787466601016842
below_50sma,14612,49.473035860936214,-25.3545678853967,-12.543674462327726
high_vol_breakdown,8331,53.16288560797023,-25.284397588305236,-13.441915366535097
down_20_from_high,12671,57.643437771288774,-23.751608138484865,-13.691243456987884
bb_reversal,3698,45.13250405624662,-30.626394489442305,-13.822458735229638
extreme_weak,3765,57.211155378486055,-24.61042286956234,-14.079907267207775
rsi_breakdown,16253,43.99187842244508,-33.652825401637095,-14.804510036405906
bearish_div,7647,40.60415849352687,-39.386802199585944,-15.992679590651804
extended_breakdown,590,53.559322033898304,-63.86438521183469,-34.205331740575865
