date,asset,action,price,signals,bubble_score,pnl_pct,reason
1983-07-27,NASDAQ,SHORT,315.0400085449219,"['broke_50sma', 'rsi_breakdown']",3.0,,
1984-01-25,NASDAQ,COVER,277.3500061035156,,,11.963560633293975,time_stop (126 days)
1986-09-12,NIKKEI,SHORT,18100.51953125,"['rsi_breakdown', 'momentum_flip']",3.0,,
1987-03-02,NIKKEI,COVER,20933.8203125,,,-15.65314617825412,stop_loss (-15.7%)
1987-04-28,NIKKEI,SHORT,22889.859375,"['rsi_breakdown', 'lower_high']",3.0,,
1987-08-04,FTSE,SHORT,2307.800048828125,"['broke_50sma', 'lower_high', 'momentum_flip']",3.0,,
1987-10-09,NIKKEI,COVER,26338.76953125,,,-15.06741522412695,stop_loss (-15.1%)
1987-10-20,FTSE,PARTIAL_COVER,1801.5999755859373,,,21.934312441809265,
1988-02-03,FTSE,COVER,1766.300048828125,,,23.46390452131967,time_stop (126 days)
1991-06-12,NASDAQ,SHORT,491.0499877929688,"['broke_50sma', 'momentum_flip']",3.0,,
1991-12-10,NASDAQ,COVER,534.22998046875,,,-8.793400620953944,time_stop (126 days)
1992-07-24,HANGSENG,SHORT,5772.7998046875,"['lower_high', 'momentum_flip']",3.0,,
1993-01-26,HANGSENG,COVER,5923.7001953125,,,-2.613989671051285,time_stop (126 days)
1993-11-05,HANGSENG,SHORT,8996.900390625,"['rsi_breakdown', 'lower_high']",3.0,,
1993-12-17,HANGSENG,COVER,10568.900390625,,,-17.472684277332494,stop_loss (-17.5%)
1994-01-13,HANGSENG,SHORT,10176.5,"['rsi_breakdown', 'lower_high']",3.0,,
1994-02-01,HANGSENG,COVER,11826.900390625,,,-16.21776043457967,stop_loss (-16.2%)
1994-02-16,HANGSENG,SHORT,10634.099609375,"['lower_high', 'momentum_flip']",3.0,,
1994-05-04,HANGSENG,PARTIAL_COVER,8369.400390625,,,21.296577067544543,
1994-08-18,HANGSENG,COVER,9518.900390625,,,10.487011215945756,time_stop (126 days)
1997-08-22,DAX,SHORT,4090.139892578125,"['broke_50sma', 'lower_high']",3.0,,
1998-02-24,DAX,COVER,4604.5498046875,,,-12.576829292387078,time_stop (126 days)
1998-04-27,DAX,SHORT,5002.7099609375,"['lower_high', 'momentum_flip']",3.0,,
1998-06-08,DAX,COVER,5787.0498046875,,,-15.678299359234007,stop_loss (-15.7%)
1998-07-27,DAX,SHORT,5854.35009765625,"['rsi_breakdown', 'momentum_flip']",3.0,,
1998-09-17,DAX,PARTIAL_COVER,4629.02978515625,,,20.930082623356412,
1999-01-25,DAX,COVER,4988.58984375,,,14.788323886759889,time_stop (126 days)
1999-02-09,NASDAQ,SHORT,2310.7900390625,"['lower_high', 'momentum_flip']",3.0,,
1999-05-18,HANGSENG,SHORT,12627.099609375,"['lower_high', 'momentum_flip']",3.0,,
1999-06-30,NASDAQ,COVER,2686.1201171875,,,-16.24250026096155,stop_loss (-16.2%)
1999-11-15,HANGSENG,COVER,14562.2197265625,,,-15.325135439264045,stop_loss (-15.3%)
2000-01-06,HANGSENG,SHORT,15153.23046875,"['broke_50sma', 'lower_high', 'momentum_flip']",3.0,,
2000-01-06,XLK,SHORT,18.672975540161133,"['rsi_breakdown', 'lower_high']",3.0,,
2000-01-12,NASDAQ,SHORT,3850.02001953125,"['rsi_breakdown', 'lower_high']",3.0,,
2000-02-10,NASDAQ,COVER,4485.6298828125,,,-16.509261252065834,stop_loss (-16.5%)
2000-02-24,PLATINUM,SHORT,468.0,"['rsi_breakdown', 'lower_high']",3.0,,
2000-03-03,XLK,COVER,21.822010040283203,,,-16.86412801938955,stop_loss (-16.9%)
2000-03-06,HANGSENG,COVER,17758.759765625,,,-17.1945467486177,stop_loss (-17.2%)
2000-03-15,NASDAQ,SHORT,4582.6201171875,"['rsi_breakdown', 'lower_high']",4.0,,
2000-03-20,RUSSELL2000,SHORT,549.2000122070312,"['rsi_breakdown', 'lower_high', 'momentum_flip']",3.0,,
2000-03-30,XLK,SHORT,22.142148971557617,"['rsi_breakdown', 'lower_high']",3.0,,
2000-04-03,DAX,SHORT,7429.22021484375,"['broke_50sma', 'lower_high']",4.0,,
2000-04-14,NASDAQ,PARTIAL_COVER,3321.2900390625,,,27.52421204180281,
2000-04-24,PLATINUM,COVER,565.2999877929688,,,-20.79059568225828,stop_loss (-20.8%)
2000-04-26,PLATINUM,SHORT,438.1000061035156,"['broke_50sma', 'rsi_breakdown', 'lower_high', 'momentum_flip']",6.0,,
2000-05-18,PLATINUM,COVER,505.7999877929688,,,-15.45308850633908,stop_loss (-15.5%)
2000-05-23,XLK,PARTIAL_COVER,17.136293411254883,,,22.607812668648084,
2000-06-13,PLATINUM,SHORT,541.0999755859375,"['rsi_breakdown', 'lower_high']",3.0,,
2000-09-13,NASDAQ,COVER,3893.889892578125,,,15.029179966854217,time_stop (126 days)
2000-09-18,RUSSELL2000,COVER,516.6799926757812,,,5.921343555795656,time_stop (126 days)
2000-09-28,XLK,COVER,18.06761741638184,,,18.401698771016576,time_stop (126 days)
2000-09-29,DAX,COVER,6798.1201171875,,,8.494836327442519,time_stop (126 days)
2000-12-13,PLATINUM,COVER,610.2000122070312,,,-12.770290101430485,time_stop (126 days)
2002-04-09,NATGAS,SHORT,3.200999975204468,"['rsi_breakdown', 'lower_high']",3.0,,
2002-04-30,NATGAS,COVER,3.765000104904175,,,-17.619498096487188,stop_loss (-17.6%)
