date,ticker,old_lev,new_lev,reason
1981-01-07,SP500,1.0,1.0,DELEVERAGE: Pullback 2.2%
1981-01-13,DXY,2.5,2.5,LEVERAGE UP to 2.5x: 12m=7.2% | 3m=6.7% | GoldenX
1981-01-22,SP500,1.0,1.0,DELEVERAGE: Short-term reversal -4.1%
1981-01-26,DXY,3.0,3.0,LEVERAGE UP to 3.0x: 12m=8.2% | 3m=6.3% | 1m=2.8% | >5%>SMA200 | GoldenX
1981-01-27,NASDAQ,1.0,1.0,DELEVERAGE: Short-term reversal -2.0%
1981-02-03,NASDAQ,1.0,1.0,DELEVERAGE: Short-term reversal -5.2%
1981-02-05,DXY,1.0,1.0,DELEVERAGE: Vol spike ATR 0.57 vs entry 0.40
1981-02-06,DXY,3.0,3.0,LEVERAGE UP to 3.0x: 12m=11.0% | 3m=6.7% | 1m=6.1% | >5%>SMA200 | GoldenX
1981-02-06,NASDAQ,3.0,3.0,LEVERAGE UP to 3.0x: 12m=20.8% | Strong12m | >5%>SMA200 | GoldenX
1981-02-12,NASDAQ,1.0,1.0,DELEVERAGE: Short-term reversal -2.2%
1981-02-13,DXY,1.0,1.0,DELEVERAGE: Vol spike ATR 0.62 vs entry 0.40
1981-02-17,DXY,3.0,3.0,LEVERAGE UP to 3.0x: 12m=14.1% | 3m=10.6% | 1m=7.3% | >5%>SMA200 | GoldenX
1981-02-18,DXY,1.0,1.0,DELEVERAGE: Vol spike ATR 0.59 vs entry 0.40
1981-02-19,NIKKEI,1.0,1.0,DELEVERAGE: Short-term reversal -2.3%
1981-02-20,NASDAQ,1.0,1.0,DELEVERAGE: Short-term reversal -2.9%
1981-02-23,NIKKEI,1.0,1.0,DELEVERAGE: Short-term reversal -2.7%
1981-02-27,NASDAQ,3.0,3.0,LEVERAGE UP to 3.0x: 12m=25.8% | Strong12m | >5%>SMA200 | GoldenX
1981-03-06,NIKKEI,1.0,1.0,DELEVERAGE: Short-term reversal -2.8%
1981-03-11,NIKKEI,1.0,1.0,DELEVERAGE: Short-term reversal -2.7%
1981-03-16,SP500,3.0,3.0,LEVERAGE UP to 3.0x: 12m=27.7% | Strong12m | 1m=5.6% | >5%>SMA200 | GoldenX
1981-03-16,NIKKEI,1.0,1.0,DELEVERAGE: Vol spike ATR 29.58 vs entry 18.73
1981-03-17,NIKKEI,1.5,1.5,LEVERAGE UP to 1.5x: 12m=7.7% | GoldenX
1981-03-17,DXY,1.0,1.0,DELEVERAGE: Short-term reversal -2.8%
1981-03-18,NIKKEI,1.0,1.0,DELEVERAGE: Vol spike ATR 33.03 vs entry 18.73
