Date,Action,Ticker,Price,Shares,Leverage,PnL%,Reason,Signals,Portfolio,Cash,NumPositions
1980-12-19,BUY,DXY,91.15,54.8546,1.5,0.0,Strength=3,Mom6m=7.2% | Mom3m=7.0% | Mom1m=2.4% | GoldenCross | AboveSMA50,100000.0,95000.0,1
1980-12-23,SELL,DXY,90.18,54.8546,1.5,-1.06,"TrailingStop (High=91.15, Stop=90.34)",Mom6m=5.8% | Mom3m=5.4% | GoldenCross | AboveSMA50,99920.19,95000.0,1
1980-12-31,BUY,SP500,135.76,36.8003,1.5,0.0,Strength=3,Mom12m=28.4% | Mom6m=18.1% | Mom3m=8.2% | GoldenCross | AboveSMA50,99920.19,94924.18,1
1980-12-31,BUY,NASDAQ,202.34,24.6912,1.5,0.0,Strength=3,Mom12m=36.6% | Mom6m=27.9% | Mom3m=7.8% | GoldenCross | AboveSMA50,99920.19,89928.17,2
1981-01-07,DELEVERAGE,SP500,135.08,36.8003,1.0,-0.5,Pullback=2.2%,Mom12m=24.0% | Mom6m=14.6% | Mom3m=2.5% | GoldenCross | AboveSMA50,99697.84,89928.17,2
1981-01-07,DELEVERAGE,NASDAQ,197.35,24.6912,1.0,-2.47,Pullback=3.3%,Mom12m=31.0% | Mom6m=20.6% | GoldenCross,99697.84,89928.17,2
1981-01-07,SELL,NASDAQ,197.35,24.6912,1.0,-2.47,"TrailingStop (High=204.17, Stop=201.03)",Mom12m=31.0% | Mom6m=20.6% | GoldenCross,99697.84,89928.17,2
1981-01-08,BUY,NIKKEI,7222.1401,0.6902,1.5,0.0,Strength=3,Mom12m=10.1% | Mom6m=5.5% | Mom1m=1.2% | GoldenCross | AboveSMA50 | Breakout,99697.62,89816.09,2
1981-01-15,BUY,NASDAQ,199.85,23.7066,1.5,0.0,Strength=3,Mom12m=28.1% | Mom6m=19.6% | Mom1m=3.0% | GoldenCross | AboveSMA50,94755.42,85078.32,3
1981-01-20,SELL,NASDAQ,198.72,23.7066,1.5,-0.57,"TrailingStop (High=201.58, Stop=199.30)",Mom12m=26.3% | Mom6m=16.6% | Mom1m=1.4% | GoldenCross,99675.78,85078.32,3
1981-01-21,SELL,SP500,131.36,36.8003,1.0,-3.24,"TrailingStop (High=138.12, Stop=131.56)",Mom12m=17.8% | Mom6m=7.5% | GoldenCross,99691.36,89775.9,2
1981-01-22,BUY,DXY,91.73,54.3271,1.5,0.0,Strength=3,Mom6m=8.6% | Mom3m=5.5% | Mom1m=1.2% | GoldenCross | AboveSMA50 | Breakout,99668.53,89626.57,2
1981-01-23,SELL,NIKKEI,7267.52,0.6902,1.5,0.63,"TrailingStop (High=7315.33, Stop=7277.49)",Mom6m=6.6% | Mom1m=2.9% | GoldenCross | AboveSMA50,99672.82,89626.57,2
1981-01-28,BUY,NIKKEI,7279.4102,0.6855,1.5,0.0,Strength=3,Mom6m=6.5% | Mom3m=2.1% | Mom1m=3.4% | GoldenCross | AboveSMA50,99795.87,89668.64,2
1981-01-29,SELL,NIKKEI,7215.1201,0.6855,1.5,-0.88,"TrailingStop (High=7279.41, Stop=7248.23)",Mom6m=6.2% | Mom1m=2.6% | GoldenCross | AboveSMA50,99759.92,89668.64,2
1981-01-30,LEVERAGE_UP,DXY,95.24,54.3271,2.0,3.83,Strength=4 (1.5x->2.0x),Mom12m=10.7% | Mom6m=11.7% | Mom3m=8.0% | Mom1m=5.4% | GoldenCross | AboveSMA50 | Breakout,99861.79,94592.33,1
