date,equity
1981-01-02,100000.0
1981-01-05,100144.56159941606
1981-01-06,100148.67835143855
1981-01-07,99606.94031471777
1981-01-08,99594.9455771234
1981-01-09,99712.18614713594
1981-01-12,99753.38750441876
1981-01-13,99771.67732767263
1981-01-14,99757.96886909008
1981-01-15,99791.30033500136
1981-01-16,99860.16367949807
1981-01-19,99927.30556735651
1981-01-20,99805.89208666708
1981-01-21,99808.2792615698
1981-01-22,99792.72590257316
1981-01-23,99783.52828418314
1981-01-26,99737.57302222408
1981-01-27,99883.09999598683
1981-01-28,99904.71127102515
1981-01-29,99864.69837207592
1981-01-30,99992.66967781243
1981-02-02,99741.43157178818
1981-02-03,99760.96609277173
1981-02-04,99713.45950034978
1981-02-05,99804.08812496673
1981-02-06,99799.60655871678
1981-02-09,99736.95783082026
1981-02-10,99786.22473406448
1981-02-11,99780.44864294873
1981-02-12,99769.51813707661
1981-02-13,99856.77047703353
1981-02-16,99814.26926343545
1981-02-17,99760.8763907593
1981-02-18,99769.85281760008
1981-02-19,99578.75146966876
1981-02-20,99535.83109143107
1981-02-23,99583.29381258096
1981-02-24,99624.01622023681
1981-02-25,99622.82999356999
1981-02-26,99713.23861834683
1981-02-27,99797.51136656785
1981-03-02,99896.83545304903
1981-03-03,99783.63148459472
1981-03-04,99803.34213866494
1981-03-05,99763.51477691511
1981-03-06,99791.10536150957
1981-03-09,99847.78617765091
1981-03-10,99736.04996914897
1981-03-11,99738.7706671646
1981-03-12,99981.6718865558
1981-03-13,100010.8715701197
1981-03-16,100046.89818706735
1981-03-17,99978.49385435866
1981-03-18,99941.47868108889
1981-03-19,99921.57435497644
1981-03-20,100087.52467029268
1981-03-23,100358.47051889755
1981-03-24,100310.88624993026
1981-03-25,100518.26424437671
1981-03-26,100531.00082689054
1981-03-27,100453.85942629604
1981-03-30,100374.97841476956
1981-03-31,100519.48510168762
1981-04-01,100577.13611220068
1981-04-02,100677.4213544718
1981-04-03,100746.42148433089
1981-04-06,100797.56152410092
1981-04-07,100730.98690969794
1981-04-08,100893.25320434314
1981-04-09,101006.7245733738
1981-04-10,101164.40638318594
1981-04-13,101213.13263521885
1981-04-14,101078.92458764433
1981-04-15,101243.13230786292
1981-04-16,101305.20760372431
1981-04-17,101350.51940382204
1981-04-20,101468.7026056522
1981-04-21,101393.66343891775
1981-04-22,101352.70827423844
1981-04-23,101427.94086474448
1981-04-24,101573.600586128
1981-04-27,101655.09599761844
1981-04-28,101561.47707831104
1981-04-29,101583.19908669843
1981-04-30,101676.71192195428
1981-05-01,101523.89300277432
1981-05-04,101488.80387621434
1981-05-05,101487.98707429135
1981-05-06,101261.68167596826
1981-05-07,101464.6607584141
1981-05-08,101431.08751474868
1981-05-11,101454.0517417524
1981-05-12,101521.37187130883
1981-05-13,101471.43300938986
1981-05-14,101684.363483198
1981-05-15,101779.45296225819
