Entry,Exit,Ticker,EntryPrice,ExitPrice,Leverage,PnL$,PnL%,Days,Reason
1980-12-31,1981-01-07,NASDAQ,202.34,197.35,3.0,-417.27,-7.4,7,TRAIL: 197.35 < 201.81
1981-01-07,1981-01-20,NASDAQ,197.35,198.72,3.0,110.31,2.08,13,TRAIL: 198.72 < 199.30
1980-12-31,1981-01-21,SP500,135.76,131.36,1.0,-194.46,-3.24,21,TRAIL: 131.36 < 131.56
1981-01-05,1981-01-21,DXY,89.14,90.63,2.5,221.54,4.18,16,TRAIL: 90.63 < 90.85
1981-01-08,1981-01-23,NIKKEI,7222.14,7267.52,1.5,46.93,0.94,15,TRAIL: 7267.52 < 7277.49
1981-01-20,1981-01-26,NASDAQ,198.72,196.13,3.0,-195.69,-3.91,6,TRAIL: 196.13 < 196.48
1981-01-23,1981-01-29,NIKKEI,7267.52,7215.12,2.5,-91.19,-1.8,6,TRAIL: 7215.12 < 7253.85
1981-01-26,1981-02-02,NASDAQ,196.13,193.09,1.0,-78.18,-1.55,7,TRAIL: 193.09 < 195.55
1981-01-29,1981-02-05,NIKKEI,7215.12,7278.44,2.5,110.57,2.19,7,TRAIL: 7278.44 < 7279.88
1981-02-02,1981-02-11,NASDAQ,193.09,195.81,3.0,212.78,4.23,9,TRAIL: 195.81 < 196.24
1981-02-05,1981-02-13,NIKKEI,7278.44,7207.22,1.5,-74.0,-1.47,8,TRAIL: 7207.22 < 7236.80
1981-02-13,1981-02-17,NIKKEI,7207.22,7135.91,1.5,-74.94,-1.48,4,TRAIL: 7135.91 < 7163.69
1981-01-21,1981-02-19,DXY,90.63,96.06,1.0,322.59,5.99,29,TRAIL: 96.06 < 96.85
1981-02-11,1981-02-19,NASDAQ,195.81,192.74,1.0,-79.24,-1.57,8,TRAIL: 192.74 < 193.47
1981-02-17,1981-02-20,NIKKEI,7135.91,7100.81,1.0,-24.81,-0.49,3,TRAIL: 7100.81 < 7103.47
1981-02-19,1981-02-20,DXY,96.06,94.95,3.0,-186.6,-3.47,1,TRAIL: 94.95 < 94.98
1981-02-20,1981-03-05,NIKKEI,7100.81,7094.03,1.0,-4.82,-0.1,13,TRAIL: 7094.03 < 7115.74
1981-02-20,1981-03-09,DXY,94.95,96.34,3.0,235.81,4.39,17,TRAIL: 96.34 < 97.11
1981-03-05,1981-03-10,NIKKEI,7094.03,7059.41,1.0,-24.63,-0.49,5,TRAIL: 7059.41 < 7062.45
1981-02-19,1981-03-11,NASDAQ,192.74,198.16,3.0,426.86,8.44,20,TRAIL: 198.16 < 198.89
1981-03-10,1981-03-12,NIKKEI,7059.41,6986.39,1.0,-52.51,-1.03,2,TRAIL: 6986.39 < 7025.42
1981-03-12,1981-03-13,NIKKEI,6986.39,6956.52,1.5,-32.69,-0.64,1,TRAIL: 6956.52 < 6958.30
1981-03-09,1981-03-16,DXY,96.34,95.68,3.0,-104.41,-2.06,7,TRAIL: 95.68 < 96.01
1981-03-16,1981-03-18,DXY,95.68,94.39,1.0,-68.59,-1.35,2,TRAIL: 94.39 < 94.82
1981-03-18,1981-03-30,DXY,94.39,96.28,3.0,305.37,6.01,12,TRAIL: 96.28 < 96.38
1981-03-11,1981-04-06,NASDAQ,198.16,211.27,3.0,1012.51,19.85,26,TRAIL: 211.27 < 211.34
1981-03-30,1981-04-07,DXY,96.28,97.35,3.0,170.1,3.33,8,TRAIL: 97.35 < 97.52
1981-04-06,1981-04-14,NASDAQ,211.27,213.39,3.0,155.41,3.01,8,TRAIL: 213.39 < 213.89
1981-03-13,1981-04-15,NIKKEI,6956.52,7461.2,3.0,1108.85,21.76,33,TRAIL: 7461.20 < 7499.75
1981-04-15,1981-04-16,NIKKEI,7461.2,7418.74,3.0,-89.45,-1.71,1,TRAIL: 7418.74 < 7419.89
1981-04-07,1981-04-22,DXY,97.35,98.92,3.0,250.1,4.84,15,TRAIL: 98.92 < 99.14
1981-04-14,1981-04-28,NASDAQ,213.39,217.63,3.0,308.66,5.96,14,TRAIL: 217.63 < 218.22
1981-04-16,1981-05-01,NIKKEI,7418.74,7575.61,3.0,332.04,6.34,15,TRAIL: 7575.61 < 7619.45
1981-01-21,1981-05-04,SP500,131.36,130.67,1.0,-26.58,-0.53,103,TRAIL: 130.67 < 131.53
1981-04-28,1981-05-04,NASDAQ,217.63,213.32,3.0,-312.5,-5.94,6,TRAIL: 213.32 < 215.84
1981-05-01,1981-05-06,NIKKEI,7575.61,7465.3,3.0,-230.57,-4.37,5,TRAIL: 7465.30 < 7511.16
1981-05-04,1981-05-11,NASDAQ,213.32,212.79,3.0,-38.96,-0.75,7,TRAIL: 212.79 < 212.93
1981-05-06,1981-05-13,NIKKEI,7465.3,7390.64,1.5,-78.25,-1.5,7,TRAIL: 7390.64 < 7474.76
1981-05-13,1981-05-19,NIKKEI,7390.64,7264.01,1.5,-133.9,-2.57,6,TRAIL: 7264.01 < 7383.59
1981-05-11,1981-06-02,NASDAQ,212.79,219.59,3.0,499.9,9.59,22,TRAIL: 219.59 < 221.77
1981-05-19,1981-06-04,NIKKEI,7264.01,7413.24,1.5,160.3,3.08,16,TRAIL: 7413.24 < 7496.33
1981-06-04,1981-06-08,NIKKEI,7413.24,7334.97,1.5,-82.99,-1.58,4,TRAIL: 7334.97 < 7348.57
1981-04-22,1981-06-10,DXY,98.92,106.8,3.0,1253.54,23.9,49,TRAIL: 106.80 < 107.58
1981-06-10,1981-06-15,DXY,106.8,105.55,3.0,-186.49,-3.51,5,TRAIL: 105.55 < 106.82
1981-06-02,1981-06-16,NASDAQ,219.59,220.58,3.0,70.77,1.35,14,TRAIL: 220.58 < 221.36
1981-06-16,1981-06-18,NASDAQ,220.58,218.71,3.0,-134.8,-2.54,2,TRAIL: 218.71 < 218.94
1981-06-18,1981-06-29,NASDAQ,218.71,218.22,3.0,-35.57,-0.67,11,TRAIL: 218.22 < 218.40
1981-06-29,1981-06-30,NASDAQ,218.22,215.75,3.0,-179.63,-3.4,1,TRAIL: 215.75 < 216.64
1981-06-30,1981-07-02,NASDAQ,215.75,212.8,1.0,-72.18,-1.37,2,TRAIL: 212.80 < 213.56
1981-05-04,1981-07-06,SP500,130.67,127.37,1.0,-140.43,-2.53,63,TRAIL: 127.37 < 128.59
1981-07-02,1981-07-06,NASDAQ,212.8,209.1,2.5,-229.29,-4.35,4,TRAIL: 209.10 < 210.78
1981-06-08,1981-07-07,NIKKEI,7334.97,7826.47,3.0,1052.42,20.1,29,TRAIL: 7826.47 < 7880.01
1981-06-15,1981-07-10,DXY,105.55,109.45,3.0,587.49,11.08,25,TRAIL: 109.45 < 109.83
1981-07-07,1981-07-15,NIKKEI,7826.47,7853.95,3.0,59.29,1.05,8,TRAIL: 7853.95 < 7865.45
1981-07-10,1981-07-15,DXY,109.45,108.7,3.0,-116.02,-2.06,5,TRAIL: 108.70 < 109.25
1981-07-06,1981-07-20,NASDAQ,209.1,209.27,1.0,4.54,0.08,14,TRAIL: 209.27 < 209.84
1981-07-15,1981-07-21,NIKKEI,7853.95,7756.76,3.0,-208.62,-3.71,6,TRAIL: 7756.76 < 7833.05
1981-07-20,1981-07-22,NASDAQ,209.27,206.16,1.0,-83.49,-1.49,2,TRAIL: 206.16 < 206.42
1981-07-15,1981-08-05,DXY,108.7,113.26,3.0,752.36,12.59,21,TRAIL: 113.26 < 113.31
1981-07-21,1981-08-12,NIKKEI,7756.76,7938.89,3.0,394.84,7.04,22,TRAIL: 7938.89 < 7941.72
1981-08-05,1981-08-12,DXY,113.26,112.2,3.0,-150.3,-2.81,7,TRAIL: 112.20 < 113.84
1981-07-22,1981-08-17,NASDAQ,206.16,209.65,2.5,237.05,4.23,26,TRAIL: 209.65 < 211.19
1981-08-12,1981-08-17,DXY,112.2,112.01,3.0,-28.98,-0.51,5,TRAIL: 112.01 < 112.06
1981-08-12,1981-08-18,NIKKEI,7938.89,7949.38,3.0,21.25,0.4,6,TRAIL: 7949.38 < 7977.40
1981-08-17,1981-08-18,NASDAQ,209.65,207.01,2.5,-169.59,-3.15,1,TRAIL: 207.01 < 208.20
1981-08-17,1981-08-21,DXY,112.01,110.01,3.0,-306.98,-5.36,4,TRAIL: 110.01 < 110.93
1981-08-04,1981-08-24,SP500,131.18,125.5,1.0,-227.97,-4.33,20,STOP: -4.3%
1981-08-18,1981-08-24,NIKKEI,7949.38,7917.53,3.0,-68.51,-1.2,6,TRAIL: 7917.53 < 7943.17
1981-08-18,1981-08-24,NASDAQ,207.01,200.76,2.5,-404.4,-7.55,6,TRAIL: 200.76 < 206.10
1981-08-24,1981-08-25,NIKKEI,7917.53,7817.22,3.0,-227.19,-3.8,1,TRAIL: 7817.22 < 7862.06
1981-08-24,1981-08-25,NASDAQ,200.76,197.78,1.5,-125.1,-2.23,1,TRAIL: 197.78 < 198.67
1981-08-21,1981-08-28,DXY,110.01,110.32,3.0,45.33,0.85,7,TRAIL: 110.32 < 110.90
