Date,Asset_1,Asset_2,Equity,Score_1
2020-05-10,AAPL,NVDA,1.0230356174631643,9.20799199545319
2020-05-11,AAPL,NVDA,1.0005102612223706,10.21095083386693
2020-05-12,AAPL,NVDA,0.9930274846242579,9.308164407856212
2020-05-13,BTC,AAPL,1.0198951881728116,9.047725910910126
2020-05-14,BTC,ETH,0.9792605801895073,10.635062582923219
2020-05-15,BTC,NVDA,0.9808410949316525,10.04902370681366
2020-05-16,BTC,NVDA,0.9962030286667224,8.214360478584894
2020-05-17,BTC,NVDA,1.014302147800334,9.356709548563087
2020-05-18,BTC,NVDA,1.0176327877027103,8.784978581291657
2020-05-19,BTC,NVDA,1.016361831813741,9.153389296122555
2020-05-20,AAPL,BTC,0.9880389681497566,10.244439664289613
2020-05-21,AAPL,NVDA,1.004344608734955,13.27397783863444
2020-05-22,NVDA,AAPL,1.004344608734955,12.336774474569937
2020-05-23,NVDA,AAPL,1.004344608734955,12.872627876054413
2020-05-24,NVDA,AAPL,1.004344608734955,11.744386409930849
2020-05-25,NVDA,AAPL,0.983779770446472,11.744386409930849
2020-05-26,AAPL,NVDA,0.9750612689933812,9.826219816424299
2020-05-27,USO,AAPL,0.9748849711694327,12.261837729213534
2020-05-28,USO,AAPL,0.9909632963394748,13.76177255317709
2020-05-29,USO,AAPL,0.9909632963394748,13.131491877856751
2020-05-30,USO,NVDA,0.9899723330431353,11.027326846177273
2020-05-31,NVDA,USO,0.9926131345752848,11.909659371102872
2020-06-01,USO,AAPL,1.0099890096328088,12.296865350350352
2020-06-02,USO,AAPL,1.0137017151932328,13.654227025629785
2020-06-03,USO,AAPL,1.016438455732351,12.05764454506631
2020-06-04,USO,EFA,1.0494548925347362,10.1955282105695
2020-06-05,USO,EFA,1.0494548925347362,14.101247729808534
2020-06-06,USO,EFA,1.0494548925347362,15.313353530346161
2020-06-07,USO,EFA,1.0471913591250173,13.285563366663837
2020-06-08,USO,EFA,1.0413110484623014,12.188270389434422
2020-06-09,USO,AAPL,1.0538344945456875,12.286053345093581
2020-06-10,USO,AAPL,0.9901719623462065,13.174075049895201
2020-06-11,USO,AMZN,0.9879931814719897,8.580679598568588
2020-06-12,USO,AAPL,0.9870051882905176,9.567388779433786
2020-06-13,USO,EFA,0.9860181831022271,8.013977933557957
2020-06-14,AAPL,EFA,0.9931440941116755,7.046457427618878
2020-06-15,AAPL,USO,1.0174332742473355,7.952297429730529
2020-06-16,AAPL,USO,1.0100995186148634,9.624261879552417
2020-06-17,AAPL,AMZN,1.011774027390993,7.976070665459521
2020-06-18,AAPL,AMZN,1.0128916306099394,8.507853961388196
2020-06-19,AAPL,AMZN,1.0128916306099394,6.685767801202405
2020-06-20,AMZN,AAPL,1.0128916306099394,8.313075672587821
2020-06-21,AMZN,AAPL,1.03348972197342,8.756853094137336
2020-06-22,AMZN,AAPL,1.054152595831261,10.030478853652662
2020-06-23,AMZN,AAPL,1.039126727891873,11.55702045578144
2020-06-24,AMZN,AAPL,1.0498586239406782,10.231832700492907
2020-06-25,AMZN,AAPL,1.0219699850874902,11.649148364732264
